year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
2010,0.1302118933697881,0.2841269841269841,0.212882038243551,0.18241185897435896
2011,-0.0,-0.0,-0.0,-0.0
2012,0.13898809523809524,0.155,0.11077611646665356,0.19672880116959063
2013,0.03571428571428571,0.045454545454545456,0.03225806451612903,0.05555555555555555
2014,-0.0,-0.0,-0.0,-0.0
2015,0.4687993487993488,0.4106186752385583,0.4571281687660998,0.4448148148148149
2016,-0.0,-0.0,-0.0,-0.0
2017,0.06666666666666667,0.07692307692307693,0.2,0.07142857142857142
2018,-0.0,-0.0,-0.0,-0.0
2019,0.25,0.07692307692307693,0.125,0.1111111111111111
