year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
2000,-0.0,-0.0,-0.0,-0.0
2001,0.0860731349969328,0.02010702004979987,0.08647852188475467,0.043546858401603855
2002,0.005190140153524632,0.010044971498987724,0.0396881406055718,0.09722222222222222
2003,0.007604126476213686,0.004587215195372925,0.011251382943841407,0.006482280109961412
2004,0.0765127826406041,0.10831012341537151,0.026652155515108626,0.028104877956954107
2005,0.012241999372259326,0.034883044970342794,0.09425078696847708,0.0785079435704354
2006,0.004646402568715125,0.001781035232190519,0.0024902075327858284,0.0026795241705595187
2007,0.08122167245337057,0.034490671276888554,0.02222948331917807,0.05918799199500738
2008,0.1802479518438441,0.03548145560644864,0.039214461009176534,0.01807952139697286
2009,0.012615359873266237,0.0385751854505523,0.00472359894709506,0.017123118075467934
2010,0.011349598235342439,0.002987216756257547,0.01039276637415983,0.005414052991916683
2011,0.04625757856804054,0.007034201926522381,0.014508457587254454,0.009588983879917724
