year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
2006,0.04631578947368421,0.06068376068376069,0.041666666666666664,0.08388157894736842
2007,0.12029314820026896,0.12827669406616776,0.11917748917748917,0.10566890594344266
2008,0.08225108225108224,0.09404761904761905,0.09614695340501792,0.0669243156199678
2009,0.1429706548241031,0.10947940947940948,0.12558479532163744,0.12214912280701755
2010,0.025,0.025,0.022222222222222223,0.022727272727272728
2011,0.045454545454545456,0.06666666666666667,0.05555555555555555,0.14285714285714285
2012,0.03333333333333333,0.03125,1.0,0.029411764705882353
2013,0.10534262485481997,0.06691086691086691,0.15158730158730158,0.12666666666666668
2014,0.1,0.09959813185619637,0.09423151374370886,0.09390798786653184
2015,0.36319451936562736,0.2408294930875576,0.16319444444444445,0.20391053391053388
2016,0.18,0.2572767145135566,0.10261980666392431,0.11380906327714838
2017,0.15082988375671302,0.18225211447882028,0.16025132275132276,0.1289423740510697
