"state","year","fiscal_1","party","elect1","elect2","income_1","nbrpercn","religion","intercept","event"
1,64,-0.087,1,0,1,81.77,0,34,1,0
1,65,0.04,1,0,0,86.53,0,34,1,0
1,66,-0.084,1,0,0,78.37,0,34,1,0
1,67,-0.074,1,0,0,64.59,0,34,1,0
1,68,-0.095,1,0,0,77.29,0,34,1,0
1,69,-0.084,1,1,0,92.5,0,34,1,0
1,70,0.04,1,0,1,87.4,0,34,1,0
1,71,-0.092,1,0,0,78.37,0,34,1,0
1,72,-0.15,1,0,0,92.5,0,34,1,0
1,73,-0.176,1,1,0,56.22,0,34,1,0
1,74,-0.12,1,0,0,77.17,0,34,1,0
1,75,0.025,1,0,0,61.44,0,34,1,0
1,76,-0.107,1,1,1,84.05,0,34,1,0
1,77,-0.084,1,0,1,53.54,0,34,1,0
1,78,-0.233,1,0,0,61.44,0,34,1,0
1,79,-0.095,1,0,0,86.57,0,34,1,0
1,80,-0.118,1,0,1,86.57,0,34,1,0
1,81,-0.12,1,0,1,49.69,0,34,1,0
1,82,-0.073,1,0,1,68.9,0,34,1,0
1,83,-0.15,1,0,1,86.53,0,34,1,0
1,84,0.025,1,1,1,47.52,0,34,1,0
1,85,-0.092,1,0,0,56.22,0,34,1,0
1,86,-0.176,1,0,0,68.9,0,34,1,0
3,64,-0.072,0,0,1,98.75,0,14.5,1,0
3,65,-0.062,1,0,1,72.15,0,14.5,1,0
3,66,-0.095,1,0,1,63.91,0,14.5,1,0
3,67,-0.036,1,0,1,90.95,0,14.5,1,0
3,68,-0.072,1,0,1,90.95,0,14.5,1,0
3,69,-0.068,1,0,0,93.76,0,14.5,1,0
3,70,-0.029,1,0,1,80.11,0,14.5,1,0
3,71,-0.062,0,0,0,65.2,0,14.5,1,0
3,72,-0.07,0,0,0,90.95,0,14.5,1,0
3,73,-0.07,0,0,0,87.22,0,14.5,1,0
3,74,-0.062,0,0,0,96.88,0,14.5,1,0
3,75,-0.021,0,1,0,66.48,0,14.5,1,0
3,76,-0.236,1,1,0,101.3,0,14.5,1,0
3,77,-0.07,1,1,1,66.48,0,14.5,1,0
3,78,-0.236,0,0,1,69.22,0,14.5,1,0
3,79,-0.027,1,1,1,63.91,0,14.5,1,0
3,80,-0.027,0,0,1,103.3,0,14.5,1,0
3,81,-0.07,0,0,1,98.75,0,14.5,1,0
3,82,-0.027,1,1,0,87.22,0,14.5,1,0
3,83,-0.065,0,1,1,63.91,0,14.5,1,0
3,84,-0.236,0,0,1,94.91,0,14.5,1,0
3,85,-0.236,1,0,0,98.75,0,14.5,1,0
