"state","year","std_score","initiative","init_sigs","std_population","std_citideology","unified","std_income","std_legp_squire","duration","durationsq","durationcb","year_1993","year_1994","year_1995","year_1996","year_1997","year_1998","year_1999","year_2000","year_2001","year_2002","year_2003","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","intercept","event","billnum","year_2012","year_2013","year_","year_1991","year_1992"
"AK",1992,-0.488436698913574,1,10,-0.796350240707397,-1.60519433021545,1,0.892387688159943,0.296250402927399,10,81,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"abortion_consent_1992_201",0,0,0,0,0
"AL",1992,-0.488436698913574,0,0,-0.119221977889538,-0.962246060371399,1,5.22098562214524e-05,-0.53319388628006,8,9,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AL",1993,-0.488436698913574,0,0,-0.127876982092857,-0.857799351215363,1,0.04274046048522,-1.05878233909607,2,9,512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AL",1994,-0.332482010126114,0,0,-0.119221977889538,-0.879454374313354,1,0.151926696300507,-1.05878233909607,3,9,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AL",1995,-0.394863873720169,0,0,-0.105894885957241,-0.495185732841492,0,0.04274046048522,-1.05878233909607,9,16,729,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AL",1996,-0.488436698913574,0,0,-0.083128459751606,-0.857799351215363,1,-0.33248832821846,-1.05878233909607,7,16,343,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AL",1997,-0.488436698913574,0,0,-0.112345099449158,-0.495185732841492,0,-0.410824120044708,-1.05878233909607,7,100,729,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AL",1998,1.97564733028412,0,0,-0.0778790861368179,-0.50804191827774,1,-0.410824120044708,-0.53319388628006,10,100,729,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AL",1999,2.44351148605347,0,0,-0.0989687368273735,-0.495185732841492,0,-0.239577978849411,-1.05878233909607,1,9,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AL",2000,-0.332482010126114,0,0,-0.119221977889538,-0.962246060371399,1,-0.406935602426529,-0.53319388628006,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"abortion_consent_1992_201",0,0,0,0,0
"AR",1992,-0.488436698913574,1,9,-0.466017335653305,-0.751742660999298,1,-0.135611608624458,-0.754926443099976,6,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",1993,-0.488436698913574,1,9,-0.414195448160172,-0.751742660999298,0,-0.619870603084564,-0.754926443099976,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",1994,-0.488436698913574,1,9,-0.431209653615952,-0.45335066318512,1,-0.395593971014023,-0.754926443099976,9,25,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",1995,1.4814658164978,1,9,-0.466017335653305,-0.467219322919846,0,-0.395593971014023,-0.738501846790314,4,0,216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",1996,-0.488436698913574,1,9,-0.436659306287766,0.131719350814819,0,-0.440873563289642,-0.754926443099976,6,64,125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",1997,-0.488436698913574,1,9,-0.431209653615952,-0.0797749683260918,0,-0.135611608624458,-0.738501846790314,4,16,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",1998,0.810860753059387,1,9,-0.421662777662277,-0.333274573087692,1,-0.628132879734039,-0.754926443099976,2,25,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",1999,-0.111221313476562,1,9,-0.431209653615952,-0.118345335125923,0,-0.135611608624458,-0.754926443099976,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",2000,-0.36269822716713,1,9,-0.44356232881546,-0.139576658606529,0,-0.236988767981529,-0.754926443099976,6,16,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",2001,2.06824541091919,1,9,-0.426471203565598,-0.872124850749969,0,-0.619870603084564,-0.754926443099976,3,4,729,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",2002,-0.488436698913574,1,9,-0.426471203565598,-0.45335066318512,0,-0.202370196580887,-0.754926443099976,0,49,216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"abortion_consent_1992_201",0,0,0,0,0
"AZ",1992,-0.127341613173485,1,12.5,0.213407635688782,-0.0563072971999645,1,0.241867765784264,0.296250402927399,18,49,4913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
"AZ",1993,-0.488436698913574,1,12.5,0.213407635688782,0.00925276800990105,1,0.290621072053909,-0.0897285640239716,7,256,216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"abortion_consent_1992_201",0,0,0,0,0
"CA",1992,-0.46200892329216,1,6.5,4.90421056747437,0.499418556690216,0,1.09769463539124,3.53190445899963,19,289,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abortion_consent_1992_201",0,0,0,0,0
