"state","year","republican","legprof_squire","exp_pupil10000_adj","mathscore4th","readscore4th","time","intercept","event"
"Alabama",1989,0,11.3333333333333,0.841255052500619,209.9875,209.651,24,1,0
"Alabama",1990,0,13.1,0.779250163978243,231.286,216.273,19,1,0
"Alabama",1991,0,11.2714285714286,0.563271526973652,221.304333333333,218.273,11,1,0
"Alabama",1992,0,12.3875,0.564187128831996,217.223,216.389,11,1,0
"Alabama",1993,0,7.61428571428571,0.841255052500619,225.071,209.109,22,1,0
"Alabama",1994,0,13.525,1.0142852022374,233,207.358,0,1,0
"Alabama",1995,1,13.525,1.0142852022374,223.345,207.418,18,1,0
"Alabama",1996,1,12.3875,0.564187128831996,227.963,209.109,15,1,0
"Alabama",1997,0,12.2166666666667,0.707826071857728,217.223,207.418,10,1,0
"Alabama",1998,0,12.3875,0.626400070894873,211.647,207.418,6,1,0
"Alabama",1999,0,7.8,0.795338915932941,219.263666666667,216.389,0,1,0
"Alabama",2000,0,13.1,0.795338915932941,231.286,206.88,12,1,0
"Alabama",2001,0,15.56,0.643663064974653,225.071,211.338,19,1,0
"Alabama",2002,1,10.3571428571429,1.02683982443975,217.223,208.8075,15,1,0
"Alabama",2003,0,11.25,0.910096874753891,231.286,218.273,20,1,0
"Alabama",2004,0,11.3333333333333,0.835378279123589,208.328,208.8075,3,1,0
"Alabama",2005,0,9.74,0.953119297011995,221.304333333333,207.964,10,1,0
"Alabama",2006,0,10.3571428571429,0.564187128831996,210.81725,208.8075,5,1,0
"Alabama",2007,1,14.6625,0.869684348117415,224.208,207.358,16,1,0
"Alabama",2008,0,8.975,1.0142852022374,208.328,210.4945,3,1,0
"Alabama",2009,0,7.8,0.910096874753891,210.81725,219.6365,9,1,0
"Alabama",2010,0,11.3333333333333,0.707826071857728,228.52,212.0705,11,1,0
"Alabama",2011,0,11.2714285714286,1.02683982443975,228.52,207.964,10,1,0
"Alabama",2012,1,13.1,0.590068800167993,208.328,207.418,15,1,0
"Alabama",2013,0,12.3875,0.869684348117415,214.435,207.358,15,1,0
"Alabama",2014,0,14.6625,0.643663064974653,227.963,219.6365,10,1,0
"Alabama",2015,0,15.56,0.73432235314566,208.328,216.331,8,1,0
"Alabama",2016,0,9.74,0.564187128831996,208.328,212.0705,0,1,0
"Alabama",2017,0,8.975,0.626400070894873,214.435,208.8075,15,1,0
"Alabama",2018,0,8.68333333333333,0.993370133444093,213.041,207.358,0,1,0
"Alabama",2019,0,11.68,0.993370133444093,208.328,216.273,23,1,0
"Alaska",1989,1,23.1285714285714,1.46129964029087,235.511,211.547,18,1,0
"Alaska",1990,1,22.7714285714286,1.5203049694482,236.3925,211.547,15,1,0
"Alaska",1991,1,23.1285714285714,1.39306947392405,226.449857142857,211.547,12,1,0
"Alaska",1992,1,24.1875,1.35848680224307,223.833,211.547,10,1,0
"Alaska",1993,0,23.0571428571429,1.5203049694482,229.066714285714,211.304,15,1,0
"Alaska",1994,0,22.7,1.60105840487846,236.3925,211.547,15,1,0
"Alaska",1995,0,22.7,1.52251183494221,223.833,212.769,1,1,0
"Alaska",1996,1,22.7714285714286,1.60105840487846,236.3925,211.547,15,1,0
"Alaska",1997,1,22.1,1.60105840487846,226.449857142857,211.547,17,1,0
"Alaska",1998,0,22.7,1.52251183494221,232.992,212.769,2,1,0
"Alaska",1999,0,29.125,1.45720863895946,227.758285714286,211.547,13,1,0
"Alaska",2000,0,22.5,1.34923086893929,223.833,211.547,2,1,0
"Alaska",2001,0,25.175,1.41700142030824,232.992,211.547,10,1,0
"Alaska",2002,0,28.1375,1.58116195950558,229.066714285714,211.547,2,1,0
"Alaska",2003,0,23.0571428571429,1.41700142030824,225.141428571429,211.547,14,1,0
"Alaska",2004,0,30.1125,1.52251183494221,237.274,211.547,18,1,0
"Alaska",2005,1,24.1875,1.45720863895946,225.141428571429,211.547,16,1,0
"Alaska",2006,0,22.8428571428571,1.5203049694482,223.833,211.547,8,1,0
"Alaska",2007,1,22.5,1.27712674483066,227.758285714286,211.061,3,1,0
"Alaska",2008,1,23.2,1.27712674483066,230.375142857143,211.547,5,1,0
"Alaska",2009,0,22.8428571428571,1.41700142030824,235.511,211.061,12,1,0
"Alaska",2010,0,21.9,1.39306947392405,229.066714285714,211.547,3,1,0
"Alaska",2011,1,27.15,1.58116195950558,237.274,211.547,16,1,0
