billname,original_ap_score,logit_ap_score
aborparc,0.026707485176063993,0.025199846374600394
aborparn,0.02095815597251696,0.021403589360793913
aborpreroe,0.06023210765958986,0.06411246043090549
absvot,0.0669650221764116,0.03370185339868528
aging,0.038340245811942675,0.04067773660675685
banfaninc,0.1847285726020601,0.17068637497248237
bangag,0.3947225930501821,0.38435680309703724
bottle,0.008909084144079458,0.014944725783851039
bradycamp,0.0779418502694263,0.07923542845988837
broadcom,0.13702366649412806,0.14710891217925998
cappun,0.21639557741364557,0.22714421420102884
ccreceipt,0.16388691048378362,0.15887606890385686
chartersch,0.14281557277833984,0.14254904974985932
childseat,0.7007882643904821,0.6839862093229577
civinjaut,0.11824756901350866,0.11115825609085835
cogrowman,0.01534406396354691,0.011604473231514761
colcanscr,0.09272138780920433,0.09175460707405207
contrains,0.10575975302664378,0.09822674244428138
correct,0.045182437634296226,0.044299163121315425
credfreez,0.25599412438867397,0.2773960788922627
cyberstalk,0.22508742534814213,0.21384076941793717
dui08,0.06606156031282621,0.058515164650392325
earlvot,0.02003502255026474,0.017967068599738695
econdev,0.10055040132332216,0.10911002957695558
education,0.014750449366428435,0.016119140865231002
elecdereg,0.3039013958382877,0.3045425638276769
enterzone,0.21530069913897976,0.20316708448343734
environ,0.09299132935292613,0.09953903344550818
famcap,0.11512921395103407,0.10996828800470043
gaymarban,0.09341440843405684,0.08894540970962846
gdl,0.35931809164713574,0.34406789615034405
grandvist,0.2469720454244222,0.22226674905360125
harass,0.07206936688012086,0.06812876064787576
hatecrime,0.08925015785298049,0.10083864354197247
health,0.06747103946389255,0.07152956363127771
higissue,0.33630658522970946,0.3375474082744833
higrenew,0.5243171719083292,0.5228227856848919
hiport,0.5428444374893444,0.5289701745456451
hiprecon,0.45581692952414915,0.4549798205955906
hmomod1,0.04177385816223306,0.03817266320483999
hmomod2,0.08444779249366184,0.09441417713500977
hsexit,0.06144916442820529,0.060775051615811704
idas,0.16423094940610908,0.18059408754393522
idtheft,0.42768275003844813,0.431131636840638
indgaming,0.16775811202358232,0.17871859465873452
indorgris,0.0826821467504263,0.08154761471472874
infanthear,0.21500352399523726,0.232377433383137
kegreg,0.020503275217153203,0.019925804005379376
kidhelmet,0.09604957380098027,0.08132690145553968
kinship,0.10114697634612302,0.10034770358333993
lemon,0.40900322908340747,0.3976556370437125
lien,0.21620650123500815,0.22525251197899496
livingwill,0.15773581238075385,0.18555911805849043
lott,0.10157713146484107,0.10762643326903676
mailreg,0.10636353721228824,0.09059478169891332
manclin,0.11754495991285258,0.113664146115582
medmar,0.04836636086404962,0.048101935913234674
methpre,0.18034520001150448,0.16930321420167904
motorhelm,0.22561592298026406,0.2194341998377566
motorvoter,0.15692346282265665,0.14310956668108446
msas,0.3156826836691839,0.30031340716817534
natreso,0.023434352275467744,0.02193547666803844
norealid,0.10939312779761982,0.11185463926677175
offwmh,0.04173111229509049,0.03687390930497758
pestcomp,0.034528519833299326,0.030080758882515313
postdna,0.2617898676720842,0.25917614125193855
primseat,0.046414676496354786,0.04075700439555729
pubbrefeed,0.16623873875726392,0.1722993253879582
pubcamfun,0.06810051181671825,0.07263315246704227
renewport,0.08041653202164009,0.09139534043337323
revenue,0.05504170393634652,0.05845945684570478
rightdie,0.03475535143454111,0.03203026053284575
schoolchoi,0.1079081883533238,0.11597146837326922
sdce,0.1042522368766273,0.08522000488076521
sexreginfo,0.04092172085094511,0.04195335756370006
smokeban,0.08655071640588849,0.09661637052518952
snrpresc,0.09314045831064591,0.08017285403842841
stalkdef,0.18819917958808235,0.1886163591166392
strikes,0.3173787705892331,0.307758805179668
tels,0.036125355907644374,0.039233652281561573
termlim,0.03711341917378269,0.03271949622005076
timelim,0.1132455730946589,0.11312292397103313
transport,0.1611937567394689,0.16418106540952404
viccomp,0.10972806203940677,0.11130699856875637
vicrtsamd,0.0739464956607706,0.07963321442464229
zerotol,0.2903870135300784,0.2926233011953652
