billname,rf_ap_score
aborparc,0.023355486944699518
aborparn,0.02017208868272308
aborpreroe,0.11886986592920375
absvot,0.06135434778956319
aging,0.10044944179103509
banfaninc,0.1628096554804497
bangag,0.24942726252421388
bottle,0.008487153431694322
bradycamp,0.10205284423770929
broadcom,0.06312867959214417
cappun,0.2237812641133239
ccreceipt,0.30741997654700765
chartersch,0.26102077404903784
childseat,0.6305593222764613
civinjaut,0.1381311489193359
cogrowman,0.008415566942037817
colcanscr,0.11906029821797215
contrains,0.12292635452244215
correct,0.06607773718285447
credfreez,0.254055493993207
cyberstalk,0.2252224389932204
dui08,0.06499203215610776
earlvot,0.045254659153879384
econdev,0.07563347006471237
education,0.0571443283166956
elecdereg,0.23338924548815623
enterzone,0.22726478820365636
environ,0.1124609098453629
famcap,0.11817272085280979
gaymarban,0.08009525135697375
gdl,0.2787395312517103
grandvist,0.34422296959730964
harass,0.11388481576590848
hatecrime,0.1190446296895088
health,0.07092929389396697
higissue,0.49776652219387535
higrenew,0.6703913399709092
hiport,0.7144707228884563
hiprecon,0.6464788357708948
hmomod1,0.04934109135025092
hmomod2,0.07146728443895216
hsexit,0.08144508924024285
idas,0.15026955471899492
idtheft,0.3876634560503686
indgaming,0.1631719635274371
indorgris,0.1146601805559533
infanthear,0.17859204592749042
kegreg,0.015058787391617326
kidhelmet,0.11099690611789037
kinship,0.12885665965294502
lemon,0.4099059226729112
lien,0.25154208874569206
livingwill,0.16221897866489635
lott,0.10345673074998431
mailreg,0.10059009788645094
manclin,0.08074644109805228
medmar,0.05655545932408144
methpre,0.08052060381859931
motorhelm,0.22101815882471557
motorvoter,0.10009370966506918
msas,0.23898983038688185
natreso,0.027976953703311658
norealid,0.11755826672482735
offwmh,0.03268927887839113
pestcomp,0.03934162805496754
postdna,0.30459798352969614
primseat,0.043749453543703666
pubbrefeed,0.15483738483531
pubcamfun,0.0760787794736669
renewport,0.12125608220739614
revenue,0.07239844942458133
rightdie,0.07819242500327528
schoolchoi,0.09242429603656706
sdce,0.08827544582931207
sexreginfo,0.041936043317916956
smokeban,0.1276832677684003
snrpresc,0.052788690353694295
stalkdef,0.18545294625831835
strikes,0.3525702434403058
tels,0.08704467147686644
termlim,0.04928748507097449
timelim,0.14562018280459973
transport,0.17914676762085582
viccomp,0.14524686974048082
vicrtsamd,0.13546680717501622
zerotol,0.3512265466898245
