billname,xgb_ap_score
aborparc,0.02088385188380455
aborparn,0.027777542685547815
aborpreroe,0.08725382615641947
absvot,0.054873088905395294
aging,0.06200643341661929
banfaninc,0.18607199446846598
bangag,0.34546823106330765
bottle,0.009749748712793323
bradycamp,0.12779653043169745
broadcom,0.07231120540151789
cappun,0.20669224204518125
ccreceipt,0.27451944382565424
chartersch,0.20783304373605238
childseat,0.6411803086609039
civinjaut,0.11696003493446828
cogrowman,0.007995187977442517
colcanscr,0.09780155574688731
contrains,0.1357930054083942
correct,0.06596672907793381
credfreez,0.2057674191584026
cyberstalk,0.2602392935761288
dui08,0.07089405697750073
earlvot,0.030227502572203857
econdev,0.10058900750294326
education,0.03343949860985419
elecdereg,0.3559826308637204
enterzone,0.24338586963184686
environ,0.17256124777976387
famcap,0.11981492469877253
gaymarban,0.10534304279933306
gdl,0.3052803958779495
grandvist,0.3140655465160855
harass,0.07859325398658239
hatecrime,0.12390500617704496
health,0.07951650455343308
higissue,0.3906439080120112
higrenew,0.6202871246545262
hiport,0.6530194615624306
hiprecon,0.5284326106869566
hmomod1,0.05052213557327922
hmomod2,0.07929269471175066
hsexit,0.060535411614374056
idas,0.1928835516627886
idtheft,0.45106140435145176
indgaming,0.18773875587439637
indorgris,0.0924510761064895
infanthear,0.18203026776270856
kegreg,0.01813215515580273
kidhelmet,0.09173131629823673
kinship,0.12525290813168763
lemon,0.40393775499611556
lien,0.27882643645952143
livingwill,0.20303583025786465
lott,0.12381301664381612
mailreg,0.09649526912326038
manclin,0.09831936395819289
medmar,0.05421717833069437
methpre,0.11554913980516661
motorhelm,0.19222685814476081
motorvoter,0.10477391539612872
msas,0.24745099450314043
natreso,0.030747410772523104
norealid,0.12208367636262496
offwmh,0.04392604849063133
pestcomp,0.0516942091305187
postdna,0.2862297248251605
primseat,0.04932557384451483
pubbrefeed,0.13717327004612506
pubcamfun,0.07093632898653977
renewport,0.08389504900019211
revenue,0.07463737032068628
rightdie,0.03076938873125021
schoolchoi,0.09340555344310507
sdce,0.09206724492310973
sexreginfo,0.0428366479357154
smokeban,0.13358239140192277
snrpresc,0.039344929925001555
stalkdef,0.20292944301260538
strikes,0.33727219286712473
tels,0.057542084121533665
termlim,0.04559210797640592
timelim,0.14313702910486317
transport,0.18848738452875366
viccomp,0.11883276639826133
vicrtsamd,0.10666045108700473
zerotol,0.35627002659745743
