billname,original_ap_score,logit_ap_score
amber,0.7344348634445006,0.7345560625285031
antishack,0.01481277059704396,0.0176381312527619
antistalk,0.6828975472542758,0.6810405562063622
bootcamp,0.07384537780910655,0.07235014187021697
cpban,0.18097143453869016,0.1763116888063562
compcrime,0.2538998275260764,0.2556406109124377
cctheft,0.15744939675115083,0.1526450422641233
crimeviccomp,0.25599820585983,0.23945987356438073
deathpen,0.15875519057436105,0.17608802450880057
dnafelon,0.2330132092227407,0.2322913845897023
dnaforexon,0.2935270782129646,0.28667091551517543
dui,0.3190921444976294,0.3274219334645237
furlough,0.15922777240763353,0.16206485377731913
gayhate,0.17324984421411066,0.1615339368779754
hatecrime,0.12256800170855622,0.12217669491258458
hazing,0.1746552346892079,0.17036294359598725
humantraffic,0.37606073678730306,0.39027553225136535
idtheft,0.4658042399031267,0.4731462851175999
imitcontsub,0.19164999632556862,0.19608210330197848
insanity,0.08160529108455489,0.09417111339100592
medmar,0.04885662999790766,0.050809062041125334
meganslaw,0.47617167974490765,0.47326459016174155
mlda,0.2733665243731887,0.357928407675993
paperterror,0.3545655339321436,0.3571008230151352
prescdrug,0.042561175843984424,0.027380155524474353
racialpro,0.15021382362227503,0.14886690220142135
rapeshield,0.11286451390753595,0.11216226457781002
repsodomy,0.16830296017689209,0.16135039331255893
rico,0.080275585514586,0.08623125748380617
rightdie,0.05489864118291554,0.05544174077814437
salvia,0.09528830279617234,0.09458098827696824
shoplift,0.19132702143639327,0.17843999281926828
sonofsam,0.16198836981928144,0.16405606591380106
statrape,0.09613152136295855,0.12415337181856385
syringe,0.06940524622805316,0.07289994370222246
terrorfund,0.15840692291092537,0.16155046870865758
threestrikes,0.2126394241838967,0.20984367262202067
victimnotif,0.21546598439406162,0.20911195315958322
victimrights,0.17694050927202792,0.17748891694536584
witnessint,0.18534083773728163,0.13995096408567867
wmd,0.3725652032812105,0.37335986493050005
zerotol,0.4930328698594684,0.478690456419303
undoctuit,0.04042589369479059,0.043815221977229875
