billname,rf_ap_score
amber,0.7827224548853694
antishack,0.3480143143929475
antistalk,0.7163910446414669
bootcamp,0.048549068526911404
cpban,0.20663364353905003
compcrime,0.24696472957369156
cctheft,0.22497689272159763
crimeviccomp,0.19883142716658708
deathpen,0.15439438915607864
dnafelon,0.26282768439096993
dnaforexon,0.34335493193261296
dui,0.2702666154934343
furlough,0.18170166755911799
gayhate,0.13396504388531721
hatecrime,0.171633311577423
hazing,0.16957464368465044
humantraffic,0.33887344900752153
idtheft,0.46379863888125866
imitcontsub,0.18063721283877646
insanity,0.1317893269170817
medmar,0.09842991154615362
meganslaw,0.4515856741526651
mlda,0.2629014447171243
paperterror,0.4282010304024075
prescdrug,0.032209138507134596
racialpro,0.1568925237768474
rapeshield,0.15121855115565166
repsodomy,0.22388629252850822
rico,0.09272526186471745
rightdie,0.12082387187191425
salvia,0.11665426428756105
shoplift,0.1838940723323955
sonofsam,0.18504321853934347
statrape,0.08679444540714736
syringe,0.15915930166132203
terrorfund,0.2707892020470608
threestrikes,0.23227119702225538
victimnotif,0.2628318941337821
victimrights,0.22137912952816005
witnessint,0.1911252398261133
wmd,0.4097154752773117
zerotol,0.5523746403583164
undoctuit,0.06981320062548167
