billname,xgb_ap_score
amber,0.7988879435290454
antishack,0.3879818594104309
antistalk,0.7467561081476357
bootcamp,0.09473064834378202
cpban,0.21430513843135776
compcrime,0.25593344448415933
cctheft,0.27237960772877207
crimeviccomp,0.23810823107055193
deathpen,0.2453764453882358
dnafelon,0.2518589088429984
dnaforexon,0.337581765411113
dui,0.28579679732902163
furlough,0.1644119586241021
gayhate,0.1655913815239311
hatecrime,0.20503664323474227
hazing,0.17142957297003783
humantraffic,0.4559469892462142
idtheft,0.4612852035918171
imitcontsub,0.19245961785644847
insanity,0.1464729782894497
medmar,0.06183755375879845
meganslaw,0.45602381816577514
mlda,0.16537614274307996
paperterror,0.38620337930166054
prescdrug,0.03169699742781999
racialpro,0.17954712836318318
rapeshield,0.1748202418156144
repsodomy,0.1900140474781826
rico,0.08089964264890556
rightdie,0.12859544332762296
salvia,0.09805448047128972
shoplift,0.20043607659943916
sonofsam,0.20982166825412854
statrape,0.08350856884222774
syringe,0.1258533635715806
terrorfund,0.20932028553228987
threestrikes,0.19667575769697496
victimnotif,0.23718897070218994
victimrights,0.21269472995796482
witnessint,0.1641924487170963
wmd,0.4181466817790811
zerotol,0.5208848523562519
undoctuit,0.073020225778007
