billname,original_ap_score,logit_ap_score
abortion_consent_1992_201,0.051506245173402125,0.050893955483598645
abortion_partial_birt,0.13216448376845258,0.13234479093592544
admittpriv,0.16045080734929074,0.13127315892650757
adoption act (1994),0.03125,0.03125
adult guardianship and protective proceedings jurisdiction act,0.22817489008447808,0.22468491100973917
amber,0.5163288223881819,0.5361009476391078
anatomical gift act (2006),0.3511463266747647,0.3535390366623994
antibully,0.20156545391246974,0.19207717721681697
antishack,0.07303609341825902,0.07111732567758351
antistalk,0.6302153778898248,0.6320097589532678
anyactnot,0.04514559918630109,0.041969396254910744
arbitration act (2000),0.07146030882505047,0.06476300054217951
assignment of rents act,0.03316632365812694,0.023425693514907794
athlete agents act,0.13439184517620278,0.13962893889536393
autism,0.19751249369176357,0.19146276061055226
banfaninc,0.15315084996431666,0.1455828988634637
bldstds_yearadopted,0.12091896520545814,0.11075933597580993
breastdensity,0.2146045718114922,0.21150420113629353
breastfeed,0.13265344411850016,0.13060319056145483
broadcom,0.0488691377767361,0.05011571038764159
candlim,0.03187301399412717,0.030879028410719822
ccreceipt,0.17413241747803337,0.17506029807797704
certificate of title for vessels act,0.06666666666666667,0.05135387488328665
certification of questions of law (1995),0.03169666321524589,0.03043399629158115
chartersch,0.08756548358093705,0.09370430157851074
child abduction prevention,0.03321739486565612,0.03727745989786225
child witness testimony by alternative methods act,0.009227983427248166,0.011967464026050098
civinjaut,0.0869732222413572,0.0704250146476669
colcanscr,0.06540719693303837,0.06367278064648864
collaborative law act,0.12348694715694991,0.1382115796160458
common interest owners bill of rights,0.022727272727272728,0.02040816326530612
common interest ownership act (1994),0.014055472263868066,0.013602126716880816
common interest ownership act (2008),0.10770975056689341,0.08754914825527749
computer information transactions act,0.07631578947368421,0.07107843137254902
consumer leases act,0.0625,0.041666666666666664
continsurance,0.14432784600595322,0.1390800282228051
contr_eq,0.1479204034581556,0.1371577957849681
corporateeff_yearadopted,0.037603768195473175,0.030131295441083606
corporaterenew_yearadopted,0.012456755510881889,0.01136281658349606
corporlimits,0.2658165703719162,0.2683524975682694
correction or clarification of defamation,0.08691383321593989,0.03831415840323
credfreez,0.36095789518373944,0.3636741906474896
cyberstalk,0.2593305194040177,0.23123005702808078
debt-management services (2011),0.02702702702702703,0.02439024390243903
"debt-management services act, 2005",0.033322183556563675,0.029175792207557893
deployed parents custody and visitation act,0.17844202898550726,0.11530100334448162
dev_s2,0.009605353485961308,0.009744041266436633
dev_s3,0.14265465878627995,0.08113849730786984
dev_s5,0.007872692235747537,0.011036801296171355
dev_s6,0.008953223289268387,0.00894307784579961
dev_s8,0.007495849827608224,0.007352399067778245
dev_s9,0.012579817630555788,0.01163688485782456
disclaimer of property interests act,0.032571648205836114,0.03299876571763957
"discovery of electronically stored information, rules relating to",0.044486215538847115,0.026856763925729443
discrenot,0.02536611613871262,0.022353599615577976
dnafelon,0.2648311651568662,0.266863638536012
dnaforexon,0.21102114125160668,0.21215156169801905
drugs_medical_marijuan,0.1293858805165418,0.057661403609416705
drugs_smoking_ban_restaurant,0.16807490971389832,0.16920570381488642
drugs_smoking_ban_workplace,0.1598334197619703,0.16248686013604424
elecdereg,0.22426288256177165,0.19682423134697993
electronic legal material act,0.3478377525252525,0.37942163613271546
electronic recordation of custodial interrogations,0.00847457627118644,0.00918060918060918
electronic transactions act,0.3038945341205048,0.30174731189347775
emcont_avail,0.09300971001302245,0.09875501349028104
emergency management assistance compact,0.23649443798025363,0.24349225990656684
emergency medical services personnel licensure interstate compact,0.25,0.4444444444444444
emergency volunteer health practitioners,0.0638506353299189,0.057931313728531275
"entity transactions act, model (2007) (last amended 2013)",0.018408990353412757,0.016300588248969412
environment_ca_car_emissions_st,0.2749816659690144,0.274706554895513
environment_electronic_wast,0.10686476063667244,0.1295986155770498
environment_ghg_ca,0.3597091169549613,0.3518084346169414
environment_publicbenefit_fund,0.1988808212706217,0.1762985047026379
environmental covenants act,0.09914025603991952,0.09932843732392449
estate_ta,0.2148135045838403,0.21476614032958885
ewaste,0.1428426113462174,0.15464187133006302
faithful presidential electors act,0.03351351351351352,0.029761904761904757
famcap,0.12995408431993977,0.12677012559705317
famlim,0.22593251790509572,0.22763916194589365
fetalheart,0.13703703703703704,0.044020909645909635
fetalpain,0.13192712392145536,0.11876749577040539
filmtaxcredit,0.20065222906066343,0.18894644305089667
foreign-country money judgments recognition act,0.10735509821635328,0.0909300406171108
gagrule,0.031243983543309553,0.030859889513603325
gap,0.039316591104819366,0.039175779328881555
gay_employment_discrim_genderi,0.05612499043376736,0.06116555147143645
gaymarban,0.16823999363070344,0.1715680680903128
gayrights_civilunion,0.04608427296661984,0.04827294625294753
gayrights_hatecrime,0.18148404667516949,0.15741093420011745
gayrights_marriag,0.03817351999875445,0.04625544288161554
gdl,0.270017483948127,0.2692298783353907
giexorder,0.019744581007785228,0.021625446154309603
gilaw,0.08856854684544763,0.037031095749427846
goodsam911,0.1967292421419848,0.22470204438055874
harass,0.11748731689194016,0.11196565057956098
health care compact,0.07880325117822662,0.09076613645564502
health-care decisions act,0.01965879827899336,0.022603651047197998
higissue,0.31290547007039365,0.3060047741177823
