billname,rf_ap_score
abortion_consent_1992_201,0.051048451153461905
abortion_partial_birt,0.09044254533511571
admittpriv,0.09050801182098807
adoption act (1994),0.024186215675577372
adult guardianship and protective proceedings jurisdiction act,0.22992450251469834
amber,0.6301917051905656
anatomical gift act (2006),0.36246070820488246
antibully,0.1807851060993162
antishack,0.015111740491776202
antistalk,0.590855874701972
anyactnot,0.2153341545055165
arbitration act (2000),0.09103965698202321
assignment of rents act,0.06262179645480813
athlete agents act,0.15481635918347883
autism,0.0941229989410635
banfaninc,0.13274862112406108
bldstds_yearadopted,0.27335048122137007
breastdensity,0.24552304543721448
breastfeed,0.4498099347974982
broadcom,0.09634303151760515
candlim,0.10024349337488676
ccreceipt,0.22213779680065507
certificate of title for vessels act,0.043095238095238096
certification of questions of law (1995),0.061915274663714305
chartersch,0.14857193658719028
child abduction prevention,0.06720337849424117
child witness testimony by alternative methods act,0.025699652084696354
civinjaut,0.17361425829687557
colcanscr,0.15780159435946464
collaborative law act,0.0739413127701551
common interest owners bill of rights,0.057226399331662486
common interest ownership act (1994),0.050861801191644684
common interest ownership act (2008),0.16717372134038802
computer information transactions act,0.19907407407407404
consumer leases act,0.11495911495911497
continsurance,0.15290749091198597
contr_eq,0.19305499724933095
corporateeff_yearadopted,0.08285557536005447
corporaterenew_yearadopted,0.05881854574743669
corporlimits,0.723498473810881
correction or clarification of defamation,0.013226615650766422
credfreez,0.2856246371985167
cyberstalk,0.27207225989413997
debt-management services (2011),0.06193588546529722
"debt-management services act, 2005",0.04459710788681557
deployed parents custody and visitation act,0.38585513520296133
dev_s2,0.030776187038856682
dev_s3,0.0808236828906746
dev_s5,0.040414125082574484
dev_s6,0.013822288595477196
dev_s8,0.0170438686832174
dev_s9,0.04334943171489943
disclaimer of property interests act,0.025142182116286927
"discovery of electronically stored information, rules relating to",0.015156165255182097
discrenot,0.07283136155017873
dnafelon,0.2923212004096573
dnaforexon,0.6355654829868441
drugs_medical_marijuan,0.09443563175969448
drugs_smoking_ban_restaurant,0.2793117111404715
drugs_smoking_ban_workplace,0.2518162867058796
elecdereg,0.4912759441857237
electronic legal material act,0.17266359623990588
electronic recordation of custodial interrogations,0.026981351981351983
electronic transactions act,0.32826514275409724
emcont_avail,0.104582681103165
emergency management assistance compact,0.25874006913398634
