billname,xgb_ap_score
abortion_consent_1992_201,0.04439704492272667
abortion_partial_birt,0.10054748756596514
admittpriv,0.098611457982356
adoption act (1994),0.02128301983759893
adult guardianship and protective proceedings jurisdiction act,0.22963550556120457
amber,0.5899136041373058
anatomical gift act (2006),0.40277971250202294
antibully,0.19425184245580365
antishack,0.028187456136994273
antistalk,0.5893337266689626
anyactnot,0.13528753603100319
arbitration act (2000),0.10882296210552811
assignment of rents act,0.2271176456162817
athlete agents act,0.16909908242074234
autism,0.09058395705993168
banfaninc,0.1318668005689647
bldstds_yearadopted,0.24304845208564907
breastdensity,0.25160416165691074
breastfeed,0.25680781515960155
broadcom,0.09862315935029792
candlim,0.07504770543763513
ccreceipt,0.23822828707502341
certificate of title for vessels act,0.05514855514855515
certification of questions of law (1995),0.0630954509281172
chartersch,0.15696799160229072
child abduction prevention,0.06835763574853791
child witness testimony by alternative methods act,0.05199497563730086
civinjaut,0.16972706493115808
colcanscr,0.1309964989350563
collaborative law act,0.12548875215705044
common interest owners bill of rights,0.06446969696969697
common interest ownership act (1994),0.05266968481254195
common interest ownership act (2008),0.25720915382102233
computer information transactions act,0.4592592592592592
consumer leases act,0.10185185185185185
continsurance,0.19430314111445623
contr_eq,0.21954619227063754
corporateeff_yearadopted,0.09618224701964379
corporaterenew_yearadopted,0.036477611786891094
corporlimits,0.6422849077615528
correction or clarification of defamation,0.027956239448613113
credfreez,0.3691043856223824
cyberstalk,0.27170193780826163
debt-management services (2011),0.05357142857142857
"debt-management services act, 2005",0.07466267978783615
deployed parents custody and visitation act,0.45132255961966106
dev_s2,0.026830685002329144
dev_s3,0.07623185785167134
dev_s5,0.0970349410879479
dev_s6,0.0179676414604671
dev_s8,0.020598850890263098
dev_s9,0.03792281276841566
disclaimer of property interests act,0.025549577317151295
"discovery of electronically stored information, rules relating to",0.017685074970689316
discrenot,0.06731496620415563
dnafelon,0.23646889926886483
dnaforexon,0.5725133219354878
drugs_medical_marijuan,0.0878095834099283
drugs_smoking_ban_restaurant,0.2525582598144546
drugs_smoking_ban_workplace,0.24447492434860865
elecdereg,0.5067923990533437
electronic legal material act,0.2860221021353265
electronic recordation of custodial interrogations,0.03505824372759856
electronic transactions act,0.3615699077448044
emcont_avail,0.12055873045426856
emergency management assistance compact,0.26648836871590487
emergency medical services personnel licensure interstate compact,0.05272904483430799
emergency volunteer health practitioners,0.0754080231210296
"entity transactions act, model (2007) (last amended 2013)",0.023355066336076435
environment_ca_car_emissions_st,0.2424723536524035
environment_electronic_wast,0.1858472429895676
environment_ghg_ca,0.22059192553281917
environment_publicbenefit_fund,0.2546084869534034
environmental covenants act,0.1462382288646061
estate_ta,0.22181279433393064
ewaste,0.20415729320607254
faithful presidential electors act,0.03065726711560045
famcap,0.17818547290315934
famlim,0.4429291980010905
fetalheart,0.5317707505694157
fetalpain,0.31976136439692215
filmtaxcredit,0.1524833452758763
foreign-country money judgments recognition act,0.11376726000053494
gagrule,0.03815048984285185
gap,0.03919689968330915
gay_employment_discrim_genderi,0.2000886343217849
gaymarban,0.21269900154260876
gayrights_civilunion,0.06297750863151376
gayrights_hatecrime,0.15529843832256557
gayrights_marriag,0.026974843926035098
gdl,0.3320825815106104
giexorder,0.013962590911807458
gilaw,0.24969336565487307
goodsam911,0.08878992362686149
harass,0.11407521257357085
health care compact,0.08082839398812851
health-care decisions act,0.022354987606959337
higissue,0.5213150618308421
higrenew,0.6241878349956521
hiport,0.6722279526057514
hiprecon,0.7319093179155535
hostliability,0.07383535147248001
humantraffic,0.38470992560040623
idas,0.2703409067389084
ide,0.31420356010077505
idtheft,0.4956517278110828
immigration_instate_tuition_ill,0.1102682970361522
indgaming,0.17534492142089442
indlimit,0.4384632933785702
indorgris,0.08269720314572632
infanthear,0.13108217265080827
ins_stateexch,0.35972099808746943
inst_tu_und,0.40558458233240113
inst_tu_vet,0.06322540738580039
insurable interest amendment to the uniform trust code,0.16628062482953196
interreg,0.04751739462623326
interstate compact on educational opportunity for military children,0.42178586236513455
interstate compact on industrialized/modular buildings,0.012550825765023367
interstate compact on licensure of participants in horse racing with pari-mutuel wagering,0.12786986909890188
interstate depositions and discovery act,0.1428241199615728
interstate enforcement of domestic violence protection orders act,0.06807809109742956
interstate family support act (1992)(1996),0.3775229490100524
interstate family support act (2001),0.1781123271632936
interstate family support act amendments (2008),0.07102624214040794
interstate forest fire suppression compact,0.13794228838088488
interstate insurance product regulation compact,0.17286399493084614
interstate insurance receivership compact,0.12460791627458294
"intestacy, wills, and donative transfers act",0.09374730275061072
kinship,0.174040623167686
"law on notarial acts, revised",0.09320285100847485
license_plates,0.015536217364501245
licenseplate,0.11636305679046888
limited cooperative association act (2007) (last amended 2013),0.061702772301453636
limited liability company (1995)(1996),0.07364816560504646
limited liability company (2006) (last amended 2013),0.05221002439352641
limited partnership act (2001) (last amended 2013),0.13350296321916147
manaccess,0.21316927759186774
management of public employee retirement systems act,0.051407984246330106
manclin,0.09432124236883972
mandnot,0.05210769823096717
medianot,0.11212001528994993
mediation act,0.03422525690545739
medicalrest,0.08343836637022149
meganslaw,0.38215430900984315
meritaid,0.13172935048134726
meritstateadmin,0.165280927831891
methpre,0.1277622042534832
military and overseas voters act,0.136246147179548
money services act,0.01683441435718001
msas,0.23344725337570002
multiple-person accounts,0.06460078062815033
naticurric,0.08256803051300178
national crime prevention and privacy compact,0.16253302953486795
national guard mutual assistance counter-drug activities compact,0.06657881434205949
national popular vote interstate compact,0.08012309448142017
neartotalban,0.04695506469101379
neighnot,0.1199189751558628
netmeter_yearadopted,0.14117624130602868
newbornheartscreen,0.42434634883434014
nonprobate transfers on death act,0.09493433156065317
norealid,0.13286830089125684
nurse licensure compact,0.05613804728442018
offwmh,0.03338743302573629
optinnot,0.01725100623480975
paperterror,0.26282614463586973
parentage act,0.06855415355840004
partition of heirs property act,0.06311480459065
partnership act (1997) (last amended 2013),0.15191453333767851
personaltax_yearadopted,0.06214863285587687
personaltaxeff_yearadopted,0.03206691049196392
planned community act,0.11495911495911497
postdna,0.5086440893640819
power of attorney,0.058831782523528144
pre20wk,0.20581345369178686
premarital and marital agreements act,0.6976190476190475
principal and income act (2000),0.21478656881860791
principal and income amendments (2008),0.23152821434396342
probate code amendments (2008),0.1899248841490858
prudent investor act,0.158959535572571
prudent management of institutional funds act,0.4759800152704307
pubaccess,0.1896589744210573
pubbenefits_yearadopted,0.28986423504821407
pubbrefeed,0.28410361966139386
pubemployees,0.009691487273248122
racialpro,0.15910284154637588
real property electronic recording act,0.13506205008830116
real property transfer on death act,0.08834716272099374
"registered agents act, model (2006) (last amended 2011)",0.17413945924932764
regulation_bicycle_helmet,0.07302526015017667
regulation_physician_suicid,0.014740576302973504
regulation_rfr,0.032785246563606006
residential mortgage satisfaction act,0.03923022605887056
restruct,0.4139781242291783
rps_yearadopted,0.17211329926191352
salvia,0.07317707460505253
sdce,0.16067915944339237
securities act,0.06634813316578647
sexreginfo,0.08323237939003451
simultaneous death act,0.1083922530865542
smokeban,0.44756310725519527
stalkdef,0.15629329777608844
stalking,0.36578589154073055
standground,0.07172577710272235
statutory form power of attorney act,0.09006161078360864
statutory trust entity act,0.051426024955436724
statutory will act (1984),0.024586954819512962
sundayban,0.19416567033127996
supp_research,0.03460941720661196
surplus lines insurance multi-state compliance compact,0.3513003455157167
termlim,0.0626995814029145
terrorfund,0.1440164841229397
threestrikes,0.1877402434481715
timelim,0.25237426837965465
tod security registration act,0.261858217304824
trust code,0.12496913977402502
"ucc article 1, general provisions (2001)",0.33965645620608287
"ucc article 3, negotiable instruments (1990)",0.34481141289235023
"ucc article 3, negotiable instruments and article 4, bank deposits (2002)",0.05329889592883777
ucc article 4a amendments (2012),0.4485070029786277
"ucc article 4a, funds transfers (1989)",0.5189293795922264
"ucc article 5, letters of credit (1995)",0.4529456171088775
ucc article 6 (repeal),0.16666666666666666
ucc article 6 (revise),0.020934090228122437
"ucc article 6, bulk sales (1989)",0.15536462565398992
"ucc article 7, documents of title (2003)",0.27007839723948673
"ucc article 8, investment securities (1994)",0.5588215793796611
ucc article 9 amendments (2010),0.6589147271452792
ultrasound,0.055485986626107285
unclaimed property act,0.028912790954702495
undoctuit,0.5093866148385642
unincorporated nonprofit association act (1992)(1996),0.03297385317674075
unincorporated nonprofit association act (2008) (last amended 2011),0.05485301006107684
unionlimits,0.48048152237688396
universalprek,0.024174492165637513
unsworn foreign declarations act (2008),0.07613345161937256
"victims of crime act, model",0.028322440087145972
vouchers,0.03583638583638584
w_animal_cruelty_felon,0.01583353500916752
w_ec_access_expan,0.03520352042161314
w_educ_biblepubli,0.0662220948985655
w_gayright_publi_accom_genderi,0.23690731080877359
wmd,0.295656948723052
worksitebanstate,0.2318145706280931
writreq,0.13025198928824033
