billname,rf_ap_score
labor_collective_bargaining_tea,0.1617040852253459
absvot,0.0509926290428172
cctheft,0.1921687811214378
trap_lic,0.0403762699470411
postvia,0.0592870537742094
ucc article 9 amendments,0.0749573575719592
parnotific,0.053583695608484
"marriage and divorce act, model",0.0544777579606505
"ucc article 9, secured transactions (1998)",0.07143108535207
abortion_consent_1973_199,0.0110040475836175
disposition of community property rights at death act (1971),0.0298926328596704
waiting,0.0585429229459289
clinic_access,0.0200554896163099
afdc_u,0.0767933261338532
pubcamfun,0.0501110764102144
management of institutional funds act,0.048486223761677
foca,0.0487788056885888
physreq,0.2082093123036041
trap_hosp,0.1068812132519309
drugs_marijuana_decriminalizati,0.0606206554816755
furprog,0.0723533012223965
rapeshield,0.1466906822389363
duties to persons with medical id devices,0.1462233885360387
hmomod1,0.0489925011762263
repsodomy,0.0593566288462158
infconsent,0.0414796993966227
wk20via,0.0647634083423978
retail theft,0.1295316259897495
sonsam,0.7919245876545352
parconsent,0.0313203914684825
disclaimer of property interests act (1973),0.027607671280252
elecdayreg,0.0315226828589935
guncontrol_satnightspecial_ba,0.0073651577653342
child pornography,0.6904875385976507
roeovertur,0.0021573497346936
imitcontsub,0.1005267365485765
sonofsam,0.8450101255384642
transport,0.0520488530432038
aging,0.0280488166957432
cpban,0.7734435438950514
insanity,0.6953805580433751
insandefref,0.818160427193625
w_envir_solar_taxcredit_stat,0.0501176206213832
multistate highway transportation agreement,0.0492776127420175
sexselect,0.059864681209017
parentage act (1973),0.0235370764046827
autosaf,0.4351861135709476
natreso,0.027600962836083
concealed carry,0.069009407353089
w_envir_solar_taxcredit_loca,0.0091713661552597
boehmke_snrpres,0.0358804852419724
regulation_pain_suffering_limit,0.0609409924905383
rules of evidence (1974),0.0515659472669675
bangag,0.0808351754597114
soexorder,0.0249555604450851
u_record_sys,0.0751504328508334
rightdie,0.0456366881194571
multistate reciprocity agreement,0.0453569511540526
regulation_boehmke_livingwil,0.1747548605001851
refuseserv,0.2915295842674471
motorvoter,0.1474831190384987
interstate compact on the placement of children,0.0328579513299377
hsexit,0.0596559241563721
tels,0.0399059948451426
trustees' powers act (1964),0.0093340302430914
st_wd_tran,0.0564483128093371
dual_enroll,0.0623418793066278
class actions,0.0428500494536164
agreement on qualifications of educational personnel,0.0601827757509897
labor_state_ada_accomodat,0.0422829542168739
fundslife,0.112809674194522
rackact,0.117070305230416
medmar,0.0494038391288273
insprivate,0.1186037972176458
wills recognition act,0.0746338716942388
dev_s4,0.03033986065725
parcounsel,0.0
environ,0.0215127962571384
compcrime,0.1484359579768984
gayrights_ban_sodom,0.9228420882829246
hatecrime,0.7120867229532624
trap,0.0302730101925337
hate crimes,0.9114032413334008
inswaiver,0.0933272808869926
inspublic,0.0682054444735229
perforfun,0.2673651172877143
interstate rail passenger network compact,0.1654917927998075
pbf,0.3269571276512111
limited partnership (1976),0.1889837681652396
victim notification,0.7773564354074538
foreign money judgments recognition act,0.0243403605441175
victimnotif,0.7751620109888532
interstate compact on agricultural grain marketing,0.0924227432908647
restaurantbanstate,0.8224390355207246
helmetlaw_17,0.3593203659352266
audio-visual deposition,0.0187539476722035
barbanstate,0.7849718600962854
helmetlaw_learn,0.638610165854503
durable power of attorney,0.0186322693062944
fetaldispos,0.0396702059848384
minfine,0.0649028201663762
compact on taxation of motor fuels consumed by interstate buses,0.1094505494505494
interstate high speed rail network compact,0.034166089774406
trade secrets act,0.1601764572935504
condominium act,0.0119182943639612
keg_reg,0.0316915541321201
prisondayswag,0.0086834905329635
opencont,0.1702168030971619
helmetlaw_pass,0.5925101844765811
preconvictdays,0.09299861303114
enterzone,0.1411948991574738
aborparn,0.0329578230525797
gambling_casino,0.0273762879083792
childabuse,0.514116807171976
const_protect,0.0888178399802368
econdev,0.050352979627401
determination of death act,0.0546519377977839
pubfacilities,0.0107402236539368
revenue,0.0407698121890072
childrest,0.6258805805284736
aborparc,0.0172614046808478
abortion_medicai,0.1605236131517364
regulation_hate_crime,0.1194643317879679
solaw,0.1820258555185842
witnessint,0.1115500946524194
funds_avail,0.0130070809761641
conservation easement act,0.0168346485027858
lemon,0.4452710939457529
mprisdm,0.1308653109305744
real estate cooperative,0.1592592592592592
victimrights,0.5024224425896507
r_d_tax_credit,0.0565251949225549
bootcamp,0.0555312372554859
w_gayrights_employment_discrimi,0.3456646349154957
vicrtsamd,0.3564498969582828
lott,0.8811507825397392
comsrv12,0.1598843909937088
"exemptions act, model",0.0378917684015135
dui,0.6356790587178237
conflicts of laws - limitations act,0.0327549984243521
transboundary pollution reciprocal access act,0.0177912017776674
netmeter,0.4338840980136164
dui08,0.468837383752659
notarial acts (1982),0.0280687943444891
w_abortion_parental_notice_1983,0.0324088691319907
eminentscholar,0.0244277175128259
regulation_boehmke_grandvis,0.1076495524273199
common interest ownership act (1982),0.0158232199166824
zerotol,0.4851581174177226
renewenergy,0.241821792460409
regreq,0.0449843610880892
model real estate time-share act,0.0174585230332508
dwi reform,0.5281685943853343
zerotoleranceapis,0.6600709220317392
drugs_boehmke_zeroto,0.5199689774958197
primseat,0.1449451457692494
damagereduce,0.0976111360288872
gambling_lottery_adoptio,0.6918155045681744
marital property act,0.0768518518518518
interstate compact on adoption and medical assistance,0.0780169287019687
compact on adoption and medical assistance,0.1706176192280679
viatesting,0.0436854655252824
transfers to minors act,0.2075402832702735
zerotolerancelaw,0.3838603637816033
primaryenforce_all,0.2952809947464251
interstate mutual aid compact,0.0175544794188861
health,0.0847519100782696
cent,0.0264791239348815
compact for education,0.1895812763783446
rights of the terminally ill act (1985),0.0400779074649501
fraudulent transfer act (1984),0.2003986579786415
regulation_mandatory_seatbelt,0.8469125868556677
governance_reform,0.0542531845742436
allpass_seatbelt,0.1575059905090566
fundslifehea,0.0954130032110269
insanity defense and post-trial disposition,1.0
eminent domain code,0.0266865079365079
frontpass_seatbelt,0.4559047094531087
"extradition and rendition act, model",1.0
nonresident violator compact,0.0989762985143428
simultaneous death act (1940),0.0245069745069745
