billname,xgb_ap_score
labor_collective_bargaining_tea,0.08627080433460678
absvot,0.05091778322396887
gambling_casino,0.01637100166223288
compact on placement of children,0.12386487086761351
driver license compact,0.1572055732470782
genderrights_gender_discriminat,0.021928104910271546
cogrowman,0.05711182142247615
guncontrol_opencarr,0.043937332995556126
prescdrug,0.02667930072066167
regulation_boehmke_cogrowma,0.028482437844738185
cctheft,0.12796639223021766
afdc_u,0.11449261759940625
repsodomy,0.049568318909696034
imitcontsub,0.09245937087220414
autosaf,0.3653790413789371
multistate reciprocity agreement,0.04114295290765879
agreement on qualifications of educational personnel,0.0492363312978352
gayrights_ban_sodom,0.9291552195960557
foreign money judgments recognition act,0.029626803249380107
compact on taxation of motor fuels consumed by interstate buses,0.18584656084656084
childabuse,0.5781078478386944
witnessint,0.10768215389793061
lott,0.13123721633284946
regulation_boehmke_grandvis,0.1389595693488209
gambling_lottery_adoptio,0.08626355763461098
compact for education,0.14645134955841757
nonresident violator compact,0.1112088152791507
crimeviccomp,0.11550112099877868
race_fair_employmen,0.32292506555766104
labor_state_ada_antidiscri,0.08849382994426375
shoplift,0.15324385142649125
bus taxation proration and reciprocity agreement,0.05035753194335781
gender_disc_laws_post196,0.2211303910979292
labor_collective_bargaining_sta,0.11053902569232059
medicaid_stateadoptio,0.5727837006504958
interstate mining compact,0.008608569839548217
aborpreroe,0.15867684685473515
w_guncontrl_bc_dealer_rifl,0.007770315343267736
genderrights_nofault_divorc,0.1882319944333639
abortion_reform_prero,0.2046929676760956
uniform unclaimed property act,0.019482345963907993
interstate compact on mentally disordered offenders,0.04597017396934897
land sales practices,0.0560926150414473
damremov,0.022275998473686123
furlough,0.1023397381558044
multistate tax compact,0.02190183237247689
w_guncontrol_waitingperio,0.018494434609198505
regulation_motorcycle_helmet,0.28920204255610177
anti-discrimination,0.34314495028780745
principal and income act (1962),0.054465144334450356
labor_minwage_abovefe,0.04689059536098939
limited partnership act (1916),0.03077134604525707
pestcomp,0.05720946250681514
status of convicted persons act (1964),0.131554300464147
securities act (1956),0.0655819200072858
model mandatory disposition of detainers act,0.021566718158670325
arbitration act (1956),0.03317566814156579
national guard mutual assistance compact,0.016392288072124943
model state administrative procedure act (1981),0.021130047479115985
deceptive trade practices act (1964),0.034274606859588906
unclaimed property act (1952)(1981),0.0947689780554134
federal lien registration act,0.08390447625553216
reciprocal enforcement of support act (1950),0.03043051923735446
testamentary additions to trusts act,0.03365522912263547
hazing,0.105970776424457
partnership act (1914),0.011237764691277128
consumer credit code,0.1428259235427459
w_environment_endangered_specie,0.039492854820831015
earlvot,0.08466327322287943
fetalhomic,0.08495098550313623
environment_state_nepa,0.05926421149900062
immigration_english_languag,0.03500640530893631
education,0.02192566112740431
child custody jurisdiction and enforcement act,0.11436640446857986
minor student capacity to borrow act (1969),0.04875608149672824
education_corporal_punishment_b,0.07392137082754431
regulations_lemonla,0.13819962305165412
anatomical gift (1968),0.5596122238051225
"post-conviction procedure act, model",0.3055555555555555
certification of questions of law (1967),0.04883546402639979
correct,0.03060017369872717
genderrights_state_era,0.05107678062102324
w_educ_mom_silentmandator,0.020209533747811374
controlled substances act,0.140122801551641
probate code,0.022287889339187014
bottle,0.01494096934490919
adoption act (1953)(1969),0.15512966510428236
statrape,0.10053094345807699
alcoholism and intoxication treatment,0.09517535136548516
requireanyid2,0.19467714018340435
anyphotoid2,0.2712546588552264
mailreg,0.10025517932698684
environment_bottlebil,0.01651278923074719
deathpen,0.12514923391001678
residential landlord and tenant act 1972,0.051829817143750394
consumer sales practices,0.09889391260359003
genderrights_era_ratificatio,0.4400658405767064
anyid2,0.11899544195486748
rico,0.08526235905624917
estate tax apportionment and probate code 3-916,0.07837086552452761
trap_lic,0.050337039955215296
postvia,0.03945620985249241
ucc article 9 amendments,0.09225724030139548
parnotific,0.039125883250705186
"marriage and divorce act, model",0.05204330419348773
"ucc article 9, secured transactions (1998)",0.08462557579494129
abortion_consent_1973_199,0.006534803474014442
disposition of community property rights at death act (1971),0.04618164240168159
waiting,0.04708099156367965
clinic_access,0.024589347482575158
pubcamfun,0.053152080778382016
management of institutional funds act,0.06672165664547415
foca,0.045969648096065574
physreq,0.12172216963175601
trap_hosp,0.09663316964440531
drugs_marijuana_decriminalizati,0.03052351614826457
furprog,0.04621311409998185
rapeshield,0.13285883895665
duties to persons with medical id devices,0.1680235515430947
hmomod1,0.04424266767184199
infconsent,0.04098042371829077
wk20via,0.055461613912624254
retail theft,0.10196256606574317
sonsam,0.18798726463569473
parconsent,0.035068870220291905
disclaimer of property interests act (1973),0.014849044843591926
elecdayreg,0.011315620606960468
guncontrol_satnightspecial_ba,0.011353484354983082
child pornography,0.21483332142944309
roeovertur,0.001976821056160989
sonofsam,0.17364534012833607
transport,0.08614450293714894
aging,0.03246792613750924
cpban,0.23669776508608983
insanity,0.11211592540567834
insandefref,0.10515895490579752
w_envir_solar_taxcredit_stat,0.07003969097531314
multistate highway transportation agreement,0.05878699255697591
sexselect,0.042743527537450504
parentage act (1973),0.03918928237675961
natreso,0.030616739338245467
concealed carry,0.06686346108539214
w_envir_solar_taxcredit_loca,0.026563201510852175
boehmke_snrpres,0.051321132244596356
regulation_pain_suffering_limit,0.0749197209915448
rules of evidence (1974),0.033668956014472916
bangag,0.11527246846659382
soexorder,0.03412945839121868
u_record_sys,0.07747001681112767
rightdie,0.04016865559387894
regulation_boehmke_livingwil,0.2788417907951822
refuseserv,0.21055619712804893
motorvoter,0.20676924478298356
interstate compact on the placement of children,0.033022030651340996
hsexit,0.08196117116100425
tels,0.03876829547814888
trustees' powers act (1964),0.016251855089763744
st_wd_tran,0.058971174217542645
dual_enroll,0.09617410278934953
class actions,0.07417027417027416
labor_state_ada_accomodat,0.05093284912409182
fundslife,0.15865530131741779
rackact,0.1042639445557129
medmar,0.08294615675108126
insprivate,0.12545455939460357
wills recognition act,0.022156469739713653
dev_s4,0.03458994773254345
parcounsel,0.0
environ,0.034120255970385566
compcrime,0.16830331563050183
hatecrime,0.11860163530697636
trap,0.04402429717447969
hate crimes,0.11565292329815748
inswaiver,0.24094915774398143
inspublic,0.04055739131686396
perforfun,0.13027725795871734
interstate rail passenger network compact,0.05311460209299131
pbf,0.15643914286808983
limited partnership (1976),0.2537267975740103
victim notification,0.23520764044253709
victimnotif,0.2129570493645672
interstate compact on agricultural grain marketing,0.13107507960449136
