"state","year","fiscal_1","party","elect1","elect2","income_1","nbrpercn","religion","intercept","event"
1,63,-0.251,1,0,1,47.52,0,34,1,0
3,63,-0.236,0,1,0,63.91,0,14.5,1,0
4,63,-0.186,1,1,0,45.45,0,29.6,1,0
5,63,-0.321,1,0,1,86.5,0,6.2,1,0
6,63,-0.283,1,0,1,73.3,0,8.9,1,0
7,63,-0.193,0,0,1,90.74,0,1.3,1,0
8,63,-0.309,1,1,0,94.94,0,2.9,1,0
9,63,-0.275,1,1,0,62.61,0,15.3,1,0
10,63,-0.28,1,0,1,53.24,0,31.1,1,0
12,63,-0.237,1,0,1,57.55,0,33.6,1,0
13,63,-0.22,0,1,0,84.04,0,8.1,1,0
14,63,-0.282,0,1,0,70.73,0,10.3,1,0
15,63,-0.255,0,1,0,67.35,0,7.8,1,0
16,63,-0.264,1,1,0,64.41,0,10.5,1,0
17,63,-0.323,1,0,0,51.52,0,31.4,1,0
18,63,-0.217,1,1,0,51.69,0,18.4,1,0
19,63,-0.171,1,0,1,58.08,0,2.3,1,0
20,63,-0.328,1,0,1,79.37,0,4.9,1,0
21,63,-0.301,1,1,0,82.29,0,0.8,1,0
22,63,-0.276,1,1,0,74.5,0,7.5,1,0
23,63,-0.244,9,0,1,67.47,0,9.3,1,0
24,63,-0.253,1,0,0,40.33,0,34.4,1,0
25,63,-0.212,1,1,0,71.71,0,20.4,1,0
26,63,-0.114,0,1,0,64.31,0,7.9,1,0
27,63,-0.22,9,1,0,89.46,0,10.9,1,0
28,63,-0.203,0,0,1,124,0,13.4,1,0
29,63,-0.189,0,1,0,65.15,0,1.2,1,0
30,63,-0.16,0,0,1,83.69,0,1.1,1,0
31,63,-0.223,1,1,0,57.26,0,16.4,1,0
32,63,-0.366,1,0,1,87.56,0,1.4,1,0
33,63,-0.255,1,1,0,52.17,0,28.5,1,0
34,63,-0.156,0,1,0,58.51,0,6.9,1,0
35,63,-0.27,1,0,1,72.9,0,5.7,1,0
36,63,-0.227,0,0,1,57.56,0,33.2,1,0
37,63,-0.252,0,0,1,71.6,0,10,1,0
38,63,-0.229,1,0,1,71.29,0,2,1,0
39,63,-0.178,0,1,0,71.26,0,0.7,1,0
40,63,-0.198,1,0,1,45.83,0,32.2,1,0
41,63,-0.042,1,1,0,57.07,0,9.9,1,0
42,63,-0.224,1,0,1,68.48,0,31.9,1,0
43,63,-0.144,1,1,0,80.97,0,24.4,1,0
44,63,-0.234,1,1,0,62.14,0,75.9,1,0
45,63,-0.161,0,1,0,60.47,0,1,1,0
46,63,-0.21,1,0,1,60.3,0,16.8,1,0
47,63,-0.295,1,1,0,74.26,0,7,1,0
48,63,-0.149,1,1,0,53.55,0,6.8,1,0
49,63,-0.39,0,1,0,68.78,0,11.8,1,0
50,63,-0.129,1,0,1,72.27,0,15.3,1,0
1,64,-0.256,1,0,1,49.69,0,34,1,0
3,64,-0.247,1,0,0,65.2,0,14.5,1,0
4,64,-0.158,1,0,0,47.22,0,29.6,1,0
5,64,-0.32,1,0,1,89.2,0,6.2,1,0
6,64,-0.294,0,0,1,74.35,0,8.9,1,0
