feature,rf_importance,xgb_importance
Lag Source Adoptions,0.12219032531367756,0.04731378
Lag Neighbor Adoptions,0.06127120454627973,0.02909507
Personal Income,0.13549307845040182,0.01911224
Total Population,0.11890016893023579,0.0151294395
Legislative Professionalism,0.07650119283421168,0.014679537
State Citizen Ideology,0.12493584658191476,0.015357986
Unified Republican Control,0.010593030800748894,0.011211594
Unified Democratic Control,0.014058324245785604,0.012204451
Time,0.06921232293801065,0.017111814
Time Squared,0.06680403762719299,0.015388725
Time Cubed,0.0663285254072684,0.016254053
state_AL,0.002970228009810821,0.022312852
state_AR,0.0029295011374598358,0.013505789
state_AZ,0.003436012000127927,0.022527782
state_CA,0.0033041159106298183,0.026440594
state_CO,0.0026116612814968557,0.017606176
state_CT,0.0024567740818481057,0.013386365
state_DE,0.002337067203436696,0.016440524
state_FL,0.0024943963370232963,0.017259808
state_GA,0.0029261546479584315,0.01584666
state_HI,0.0018754609613490785,0.014606814
state_IA,0.0030398159255246456,0.01690767
state_ID,0.0025791707453604036,0.015078658
state_IL,0.002668528318051729,0.016597763
state_IN,0.002734063057004737,0.018405132
state_KS,0.002194608695577637,0.013335156
state_KY,0.0028633499342884685,0.01516107
state_LA,0.0034561943475680448,0.017392365
state_MA,0.0022760958659230144,0.009665876
state_MD,0.0026229118573774224,0.01572793
state_ME,0.0032333403494956897,0.018247567
state_MI,0.0021446272278523746,0.014835024
state_MN,0.0033328097501607434,0.017600182
state_MO,0.003114082134289871,0.015408278
state_MS,0.0025485186025574046,0.013423776
state_MT,0.0029405699314049203,0.017190611
state_NC,0.0028743206014537866,0.016241863
state_ND,0.002518500357231015,0.017832395
state_NH,0.002320332461853261,0.015645638
state_NJ,0.0031144887913013585,0.014409661
state_NM,0.0025453202870349702,0.013429645
state_NV,0.0034578808579262526,0.018989205
state_NY,0.002025198491439457,0.019512078
state_OH,0.002322156452815559,0.013158027
state_OK,0.0021233494480701,0.018904898
state_OR,0.0031472021578577924,0.014566534
state_PA,0.003407132710560723,0.018889248
state_RI,0.002387406603542855,0.016461845
state_SC,0.004603854929430524,0.020423258
state_SD,0.002615296443180923,0.016989177
state_TN,0.003012993721012523,0.017791567
state_TX,0.0029075874954220056,0.017876355
state_UT,0.0027202518856414334,0.017575255
state_VA,0.002885212175520678,0.013897529
state_VT,0.0023059657706277713,0.012565489
state_WA,0.0035550959566197087,0.020249886
state_WI,0.00313603951902366,0.015635936
state_WV,0.002697224694530248,0.014368422
state_WY,0.0019390721985973955,0.0068170317
