feature,rf_importance,xgb_importance
Policy Congruence,0.02224397644792135,0.080835395
Elect1,0.005250858688059906,0.027918877
Elect2,0.007181008774245181,0.02987002
Electoral Competition,0.05691883877689216,0.03425209
National Crime Salience,0.0384472089168305,0.03659254
Democratic Party Strength,0.055883447969952864,0.03502902
Democratic Governor,0.006793123081784921,0.0395698
Legislative Session,0.00701090251493337,0.08513881
Neighbors,0.14046287576353506,0.15397336
Ideological Distance,0.10607467293937342,0.057114065
Legislative Professionalism,0.030430680210247196,0.035810832
Political Ideology,0.05748610205232488,0.036095556
Crime Spending per Capita,0.06206192564677861,0.041883938
Crime Spending (Squared),0.06076655948756559,0.038198117
Violent Crime Rate,0.05498537077593563,0.030530185
Pct. Population White,0.042235157667486554,0.037493017
Per Capita Income,0.06761348555901028,0.046988282
Logged Population,0.05438578772103422,0.03390871
Time,0.041582187721095905,0.034468915
Time Squared,0.041248524653150716,0.04798975
Time Cubed,0.04093730463184164,0.03633877
