feature,rf_importance,xgb_importance
Similarity,0.41949463284782795,0.074043535
Initiative Process,0.0055951409614478755,0.024123937
Average Signatures,0.025329743815952505,0.026878174
Population,0.07990631802540882,0.025024442
Citizen Ideology,0.08749928837262581,0.024969857
Unified Control,0.00815413091688479,0.022054786
Income,0.08012741198262611,0.02401975
Legislative Professionalism,0.054599882456341134,0.024383914
Duration,0.041323329864758875,0.026743269
Duration Squared,0.03985610190770675,0.024498316
Duration Cubed,0.037462527486850576,0.02447052
year_1993,0.004219786248085604,0.022737717
year_1994,0.0030590223444175693,0.02582718
year_1995,0.003069276080413184,0.024652133
year_1996,0.003178206342122868,0.026627367
year_1997,0.004148172637554893,0.02330593
year_1998,0.004027144934622969,0.026212027
year_1999,0.004300560386588979,0.02195718
year_2000,0.004353772004532764,0.02694522
year_2001,0.005865649670691822,0.028312227
year_2002,0.0038610367887875535,0.021092057
year_2003,0.005255929815507247,0.02850899
year_2004,0.008752379681376203,0.040992714
year_2005,0.005416378091033736,0.027165793
year_2006,0.004925377379723865,0.025277982
year_2007,0.005355094705427235,0.027308267
year_2008,0.004063169741525179,0.025106365
year_2009,0.005719156193784026,0.032682832
year_2010,0.004687584919048925,0.036024757
year_2011,0.004188931065309953,0.026767988
year_2012,0.004334858859713089,0.031085378
year_2013,0.009495334431518287,0.042131223
year_,0.0,0.0
year_1991,0.0016241816378048288,0.020970477
year_1992,0.016750487401977897,0.06709776
