"state","year","std_score","initiative","init_sigs","std_population","std_citideology","unified","std_income","std_legp_squire","duration","durationsq","durationcb","year_1993","year_1994","year_1995","year_1996","year_1997","year_1998","year_1999","year_2000","year_2001","year_2002","year_2003","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","event","billnum","year_2012","year_2013","year_","year_1991","year_1992"
"AL",1992,-0.488436698913574,0,0,-0.139194846153259,-0.495185732841492,0,-0.410824120044708,-1.05878233909607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"AK",1992,-0.488436698913574,1,10,-0.809616565704346,0.32139265537262,0,0.870015680789948,0.296250402927399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"AZ",1992,-0.488436698913574,1,12.5,-0.184000357985497,-0.272549390792847,0,-0.292364895343781,-0.0897285640239716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"AR",1992,-0.488436698913574,1,9,-0.466017335653305,-0.118345335125923,1,-0.628132879734039,-0.754926443099976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"CA",1992,-0.488436698913574,1,6.5,4.90421056747437,0.302237212657928,0,0.611086368560791,3.08022665977478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"CO",1992,-0.488436698913574,1,5,-0.262940526008606,0.00966041162610054,0,0.357559472322464,-0.196488693356514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"CT",1992,-0.488436698913574,0,0,-0.299651384353638,1.15439915657043,0,1.79447746276855,-0.1472148001194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"DE",1992,-0.488436698913574,0,0,-0.789648592472076,0.748524248600006,0,0.666313767433167,-0.368947505950928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"FL",1992,-0.488436698913574,1,8,1.64655256271362,-0.176865860819817,1,0.279320597648621,0.435859858989716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"GA",1992,-0.488436698913574,0,0,0.361596316099167,-0.194296523928642,1,-0.0656517967581749,-0.73028951883316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"HI",1992,-0.488436698913574,0,0,-0.702455818653107,1.71641135215759,1,0.989075005054474,0.460496872663498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"ID",1992,-0.488436698913574,1,10,-0.718801915645599,-0.426726013422012,0,-0.432435095310211,-0.705652594566345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"IL",1992,-0.488436698913574,1,8,1.27867317199707,0.610212624073029,0,0.640700876712799,0.329099744558334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"IN",1992,-0.488436698913574,0,0,0.146729096770287,0.141771003603935,0,-0.0558469407260418,-0.738501846790314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"IA",1992,-0.488436698913574,0,0,-0.390346080064774,0.337624788284302,0,-0.0920650660991669,-0.262187272310257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"KS",1992,-0.488436698913574,0,0,-0.444127380847931,-0.161973848938942,0,0.111436605453491,-0.713864922523499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
