feature,rf_importance,xgb_importance
Traditional,0.02625495402213094,0.6426095
Neighbors,0.038434805153720886,0.019548107
Previous Adopters,0.08625253136744543,0.019514577
Complexity,0.007314091588229605,0.024604341
Interest Group Role,0.013961139720341836,0.016102536
Republican Governor,0.006649539313301282,0.015616318
Unified,0.006762994271226843,0.011143325
Democratic Legislature,0.05294228613271266,0.011678634
Income per Capita,0.059852107391401135,0.012308845
Expenditures per Capita,0.060124286730881056,0.012341326
Population,0.057825715280443675,0.011695902
Pct College Educated,0.056317039162105675,0.011887439
Pct Urban,0.05667652625766419,0.011528719
Legislative Professionalism,0.05369054341725981,0.011715614
Traditional x Neighbors,0.020992217696441717,0.013562226
Traditional x Prev. Adopters,0.06748064057415114,0.025268273
Traditional x Complexity,0.0032673489316178733,0.012273451
Traditional x Interest Group,0.017219732267317475,0.010344441
Traditional x Rep. Governor,0.004706230070666298,0.010686418
Traditional x Unified,0.0056501196464572604,0.013147118
Traditional x Dem. Legislature,0.03507397581852735,0.010971809
Traditional x Income,0.048953445005718875,0.011691655
Traditional x Expenditures,0.04879113483457845,0.011868302
Traditional x Population,0.03632049014198785,0.011166676
Traditional x College,0.05253490832536748,0.013134851
Traditional x Urban,0.03841313033638686,0.011998238
Traditional x Professionalism,0.03753806654191637,0.011591335
