"state","year","traditional","nborsstd","prevadoptstd","complexity","igrole","regov","unified","perdemstd","incpcadjstd","exppcadjstd","logpopstd","collegstd","perurbanstd","profstd","traditional_nborsstd","traditional_prevadoptstd","traditional_complexity","traditional_igrole","traditional_regov","traditional_unified","traditional_perdemstd","traditional_incpcadjstd","traditional_exppcadjstd","traditional_logpopstd","traditional_collegstd","traditional_perurbanstd","traditional_profstd","intercept","event","billnum"
"AK",1951,1,-0.745413601398468,0.802774608135223,0,1,0,0,0.628182411193848,0.463043600320816,3.42528009414673,-1.82416677474976,0.418136894702911,-2.18448615074158,-1.188920378685,-0.745413601398468,0.802774608135223,0,1,0,0,0.206952512264252,0.284029722213745,3.26293706893921,-1.78706097602844,0.0974282771348953,-1.14331412315369,-1.07572054862976,1,0,7
"AK",1952,1,-0.745413601398468,0.144771620631218,0,1,0,0,0.984791696071625,1.50146150588989,-1.16460907459259,-1.84548199176788,-0.821936428546906,-0.875693440437317,-1.25066578388214,-0.745413601398468,-0.622898519039154,0,1,1,0,-0.50786155462265,1.49908912181854,2.70074152946472,-1.99981820583344,-0.22328032553196,-1.27712452411652,-1.05513882637024,1,1,7
"AL",1951,1,-0.745413601398468,0.254438787698746,0,1,0,1,1.97894418239594,-0.681279242038727,-0.509081721305847,0.167925044894218,-1.32437992095947,-0.451655328273773,1.56903886795044,-0.745413601398468,0.967275321483612,0,1,0,1,1.97894418239594,-1.53172850608826,-1.12240195274353,0.0857414379715919,-1.70923030376434,-0.597687244415283,1.17798495292664,1,0,7
"AL",1952,1,-0.745413601398468,0.583440244197845,0,1,0,1,2.02680253982544,-1.25624203681946,-0.381896436214447,0.182890996336937,-1.51680517196655,-0.518954336643219,1.5614560842514,0.380078792572021,-0.129396289587021,0,1,0,1,2.00264978408813,-1.89723587036133,-0.454378396272659,0.067848913371563,-1.80544292926788,-0.545198619365692,1.42496633529663,1,0,7
"AL",1953,1,0.380078792572021,0.144771620631218,0,1,0,1,2.05028510093689,-0.810921251773834,-1.46006977558136,0.29751718044281,-0.620348215103149,-0.832916855812073,1.54629051685333,0.380078792572021,1.02210891246796,0,1,0,1,1.97983825206757,-1.88189733028412,-1.24770176410675,0.157691836357117,-1.32437992095947,-0.755153119564056,1.56903886795044,1,0,7
"AL",1954,1,-0.182667419314384,-1.00673353672028,0,1,0,1,2.07376646995544,-2.01410913467407,-1.05172038078308,0.0567598231136799,-1.09072077274323,-0.48244634270668,1.41649150848389,-0.745413601398468,0.254438787698746,0,1,0,1,2.07376646995544,-1.95253908634186,-1.12218928337097,0.067848913371563,-0.620348215103149,-0.390073299407959,1.47804570198059,1,0,7
"AL",1955,1,0.380078792572021,-0.951900005340576,0,1,0,1,1.97803235054016,-2.01410913467407,-1.4550986289978,0.229864001274109,-1.77337205410004,-0.832916855812073,1.30147564411163,-0.182667419314384,-0.129396289587021,0,1,0,1,2.00264978408813,-0.952694594860077,-0.578193485736847,0.0706000328063965,-1.42059254646301,-0.44139164686203,1.5614560842514,1,0,7
"AL",1956,1,-0.745413601398468,-0.129396289587021,0,1,0,1,2.00264978408813,-0.761663317680359,-0.435442894697189,0.145937457680702,-1.74130117893219,-0.518954336643219,1.47804570198059,-0.182667419314384,0.583440244197845,0,1,0,1,2.02635550498962,-0.930342733860016,-0.435442894697189,0.167925044894218,-1.35645079612732,-0.451655328273773,1.47804570198059,1,0,7
"AL",1957,1,-0.182667419314384,0.693107426166534,0,1,0,1,1.97983825206757,-1.89723587036133,-1.2778480052948,0.113850250840187,-1.15791690349579,-0.492709994316101,1.49321115016937,0.380078792572021,1.02210891246796,0,1,0,1,1.97803235054016,-1.53172850608826,-1.1264511346817,0.29751718044281,-1.02352476119995,-1.14397168159485,1.44771456718445,1,1,7
"AR",1951,1,-0.745413601398468,1.02210891246796,0,1,0,1,2.04887557029724,-1.58740305900574,-0.879572629928589,-0.359478771686554,-1.85431277751923,-1.14919328689575,1.13682126998901,-0.745413601398468,0.967275321483612,0,1,0,1,2.04887557029724,-1.38851320743561,-1.25217199325562,-0.46006253361702,-1.4114294052124,-1.14919328689575,1.13682126998901,1,0,7
"AR",1952,1,-0.745413601398468,0.857608139514923,0,1,0,0,1.95286798477173,-1.33844375610352,-1.36931467056274,-0.464383810758591,-1.64050698280334,-1.94535577297211,1.13682126998901,-0.745413601398468,-0.622898519039154,0,1,0,1,2.04887557029724,-2.01815605163574,-0.901375114917755,-0.317822754383087,-1.85431277751923,-2.08355903625488,0.776640057563782,1,1,7
