"state","year","norrander_legality","religadhrate","initdif","dem_gov","uni_dem_leg","fem_dem","nbrspct","rescaledmedincome","rescaledpopsize","time","time2","webster","intercept","event","billnum"
"Alabama",1997,2.79999995231628,0.733512282371521,0,0,1,0.0480000004172325,0.5,3.1939001083374,0.432514607906342,0,0,1,1,0,1
"Alaska",1997,2.36999988555908,0.371178030967712,2,1,0,0.0379999987781048,0,4.79939985275269,0.0603865310549736,0,0,1,1,0,1
"Arizona",1997,2.27999997138977,0.446381390094757,4,0,0,0.142000004649162,0,3.2739999294281,0.469101101160049,0,0,1,1,0,1
"Arkansas",1997,2.9300000667572,0.678844511508942,5,0,1,0.100000001490116,0.28571429848671,2.61619997024536,0.257659763097763,0,0,1,1,0,1
"California",1997,2.24000000953674,0.50595086812973,6,0,1,0.180999994277954,0,3.96939992904663,3.26381611824036,0,0,1,1,0,1
"Colorado",1997,2.30999994277954,0.431976646184921,6,1,0,0.148000001907349,0.142857149243355,4.32329988479614,0.399920105934143,0,0,1,1,0,1
"Connecticut",1997,2.35999989509583,0.665698409080505,0,0,1,0.174999997019768,0.333333343267441,4.39849996566772,0.337003022432327,0,0,1,1,0,1
"Delaware",1997,2.39000010490417,0.502309381961823,0,1,0,0.096000000834465,0,4.30329990386963,0.0748370364308357,0,0,1,1,0,1
"Florida",1997,2.5699999332428,0.487036347389221,3,1,0,0.120999999344349,0.5,3.24550008773804,1.50690424442291,0,0,1,1,0,1
"Georgia",1997,2.82999992370605,0.610051512718201,0,1,1,0.115000002086163,0.600000023841858,3.66630005836487,0.767398178577423,0,0,1,1,0,1
"Hawaii",1997,2.47000002861023,0.398611813783646,0,1,1,0.149000003933907,0,4.09340000152588,0.118054464459419,0,0,1,1,0,1
"Idaho",1997,2.60999989509583,0.526444673538208,5,0,0,0.0520000010728836,0,3.34039998054504,0.120779171586037,0,0,1,1,0,1
"Illinois",1997,2.53999996185303,0.660552799701691,3,0,0,0.119000002741814,0,4.12830018997192,1.21226859092712,0,0,1,1,0,1
"Indiana",1997,2.73000001907349,0.494591385126114,0,1,0,0.100000001490116,0.25,3.8889000415802,0.591958701610565,0,0,1,1,0,1
"Iowa",1997,2.66000008583069,0.638975262641907,0,0,0,0.100000001490116,0.5,3.37829995155334,0.288145333528519,0,0,1,1,0,1
"Kansas",1997,2.82999992370605,0.561680436134338,0,0,0,0.109999999403954,0.25,3.64709997177124,0.262516468763351,0,0,1,1,0,1
"Kentucky",1997,3.26999998092651,0.615751266479492,0,1,1,0.0350000001490116,0.25,3.3452000617981,0.393482714891434,0,0,1,1,0,1
"Louisiana",1997,3.01999998092651,0.805575668811798,0,0,1,0.0829999968409538,0.333333343267441,3.32599997520447,0.439427495002747,0,0,1,1,0,1
"Maine",1997,2.40000009536743,0.39003387093544,3,0,1,0.204999998211861,0,3.2771999835968,0.126082450151443,0,0,1,1,0,1
