feature,rf_importance,xgb_importance
Neighbor Adoptions,0.06693647156358826,0.28310764
Ideological Distance,0.1625263252106525,0.048197042
Congressional Hearings,0.08002930375744301,0.04679093
Iniative Available,0.00931877169486179,0.03984123
Initiative Qual. Difficulty,0.025003996330981545,0.043589357
Divided Government,0.012985271654443534,0.04014519
Legislative Professionalism,0.1030170592422884,0.03836288
Per Capita Income,0.11022116549928902,0.043172307
Population,0.11272303213556396,0.040343195
Most Important Problem,0.06345381548551939,0.041275628
Complex Policy,0.0060818077182562555,0.04120598
MIP x Complex,0.01812942174079437,0.030652586
New York Times,0.07973632175569484,0.045714017
Year,0.06393610499114542,0.06741518
Time,0.0859011312194778,0.15018688
