"state","year","republican","legprof_squire","exp_pupil10000_adj","mathscore4th","readscore4th","time","intercept","event"
"Alabama",1988,0,14.6625,0.571106634916213,208.328,207.358,0,1,0
"Alaska",1988,0,30.1125,1.5203049694482,223.833,211.547,0,1,0
"Arizona",1988,0,24.1875,0.768786021556328,215.254,209.402,0,1,0
"Arkansas",1988,0,10.4875,0.6119109171377,210.206,210.9,0,1,0
"California",1988,0,61.825,0.818217850349638,208.399,202.248,0,1,0
"Colorado",1988,0,28.4,0.881091647575194,221.023,216.525,0,1,0
"Connecticut",1988,0,21.7375,1.39211515351574,226.798,221.613,0,1,0
"Delaware",1988,0,18.6875,1.08535694597631,217.9,212.923,0,1,0
"Florida",1988,0,25.425,0.863786610842101,213.69,208.308,0,1,0
"Georgia",1988,0,12.975,0.772242073371846,215.595,212.341,0,1,0
"Hawaii",1988,0,27.3,0.812029090899041,214.057,203.427,0,1,0
"Idaho",1988,0,12.3125,0.55192391088453,221.563,219.317,0,1,0
"Illinois",1988,0,29.375,0.955889823004124,222.976,216.304,0,1,0
"Indiana",1988,0,13.4875,0.835351791999795,221.038,221.146,0,1,0
"Iowa",1988,0,21.7375,0.843612511440423,229.884,225.49,0,1,0
"Kansas",1988,1,14.6625,0.868447349680034,232.092,221.251,0,1,0
"Kentucky",1988,0,9.925,0.663300438926162,215.048,212.512,0,1,0
"Louisiana",1988,0,17.9875,0.646628877872316,204.14,203.689,0,1,0
"Maine",1988,0,14.0875,0.948690223925077,231.639,226.81,0,1,0
"Maryland",1988,0,20.2125,1.13930008823684,217.318,211.042,0,1,0
"Massachusetts",1988,0,57.875,1.1838963537053,226.598,226.001,0,1,0
"Michigan",1988,0,63.5875,1.01035107872428,219.878,216.034,0,1,0
"Minnesota",1988,0,19.65,0.926844769196971,228.494,220.901,0,1,0
"Mississippi",1988,0,15.5875,0.529652681953155,201.828,199.109,0,1,0
"Missouri",1988,0,27.5875,0.819507107260992,222.216,220.049,0,1,0
"Montana",1988,0,10.5375,0.843887002915277,227.516,222.301,0,1,0
"Nebraska",1988,0,18.425,0.801774472236662,225.333,221.177,0,1,0
"Nevada",1988,0,14.7875,0.767849505489224,217.623,205.786,0,1,0
"New Hampshire",1988,1,4.1,0.943586405029505,229.665,227.715,0,1,0
"New Jersey",1988,0,28.75,1.5278389642619,227.148,222.964,0,1,0
"New Mexico",1988,0,9.75,0.673552169926145,213.299,210.738,0,1,0
"New York",1988,0,64.1,1.52502044303831,218.446,214.625,0,1,0
"North Carolina",1988,0,19.625,0.750274801171491,212.884,211.546,0,1,0
"North Dakota",1988,0,7.2875,0.743743347272732,228.663,225.516,0,1,0
"Ohio",1988,0,32.725,0.899961735032966,218.712,217.37,0,1,0
"Oklahoma",1988,0,24.225,0.662593938389423,220.32,220.277,0,1,0
"Oregon",1988,0,17.925,1.00894979027262,223.476,211.557,0,1,0
"Pennsylvania",1988,0,32.9375,1.09846885130656,224.306,220.693,0,1,0
"Rhode Island",1988,0,14.3625,1.2236472442617,215.449,216.615,0,1,0
"South Carolina",1988,0,20.2375,0.706734371893081,212.497,209.716,0,1,0
"South Dakota",1988,1,8.075,0.692820365842654,237.265,222.273,0,1,0
"Tennessee",1988,0,13.275,0.648549363001517,210.948,212.137,0,1,0
"Texas",1988,0,21.0625,0.750879387406586,217.919,212.505,0,1,0
"Utah",1988,1,8.0125,0.507529251272625,224.042,220.39,0,1,0
"Vermont",1988,0,14.15,1.07868604620819,224.881,226.961,0,1,0
"Virginia",1988,0,13.5125,0.900424304363002,220.763,220.753,0,1,1
"Washington",1988,0,22.6,0.843529480682815,225.053,212.695,0,1,0
"West Virginia",1988,0,12.3875,0.761691463030632,215.269,215.536,0,1,0
"Wisconsin",1988,0,29.3625,1.04387459405497,228.692,223.608,0,1,0
"Wyoming",1988,0,5.6125,1.04887295873143,225.378,222.983,0,1,0
"Alabama",1989,0,13.525,0.563271526973652,208.328,207.358,1,1,0
"Alaska",1989,0,29.125,1.58116195950558,223.833,211.547,1,1,0
"Arizona",1989,0,23.375,0.747064334038486,215.254,209.402,1,1,0
"Arkansas",1989,0,10.475,0.621457177622349,210.206,210.9,1,1,0
"California",1989,0,61.15,0.824301924955826,208.399,202.248,1,1,0
"Colorado",1989,0,26.8,0.871547140150189,221.023,216.525,1,1,0
"Connecticut",1989,0,21.175,1.46568471083227,226.798,221.613,1,1,0
"Delaware",1989,0,18.175,1.0793708259071,217.9,212.923,1,1,0
"Florida",1989,0,25.35,0.902585428678631,213.69,208.308,1,1,0
"Georgia",1989,0,12.65,0.789241220422158,215.595,212.341,1,1,0
"Hawaii",1989,0,27,0.831550847835888,214.057,203.427,1,1,0
"Idaho",1989,0,12.125,0.570357339459302,221.563,219.317,1,1,0
"Illinois",1989,0,28.55,0.948387521368828,222.976,216.304,1,1,0
"Indiana",1989,0,13.075,0.840866970813333,221.038,221.146,1,1,0
"Iowa",1989,0,20.975,0.831055935539342,229.884,225.49,1,1,0
"Kansas",1989,0,14.125,0.884007682241499,232.092,221.251,1,1,0
"Kentucky",1989,0,9.75,0.691275468838566,215.048,212.512,1,1,0
"Louisiana",1989,0,17.475,0.716875859496747,204.14,203.689,1,1,0
"Maine",1989,0,13.475,1.02284212439591,231.639,226.81,1,1,0
"Maryland",1989,0,20.025,1.1645067625575,217.318,211.042,1,1,0
"Massachusetts",1989,0,54.35,1.17394823254156,226.598,226.001,1,1,0
"Michigan",1989,0,61.875,1.03410162271501,219.878,216.034,1,1,0
"Minnesota",1989,0,19.4,0.918806998265588,228.494,220.901,1,1,0
"Mississippi",1989,0,15.175,0.545813358385436,201.828,199.109,1,1,0
"Missouri",1989,0,26.475,0.821965884755104,222.216,220.049,1,1,0
"Montana",1989,0,10.075,0.887758596332144,227.516,222.301,1,1,0
"Nebraska",1989,0,18.25,0.84675046061268,225.333,221.177,1,1,0
"Nevada",1989,0,14.975,0.778186818664606,217.623,205.786,1,1,0
"New Hampshire",1989,1,4,0.987321770633603,229.665,227.715,1,1,0
"New Jersey",1989,0,11,1,7,208,0,1,0
"New Mexico",1989,0,9.7,0.643890657136968,213.299,210.738,1,1,0
"New York",1989,0,62.3,1.51499193673939,218.446,214.625,1,1,0
"North Carolina",1989,0,18.95,0.781281388734293,212.884,211.546,1,1,0
"North Dakota",1989,0,7.075,0.74879772783003,228.663,225.516,1,1,0
"Ohio",1989,0,32.55,0.920886814343191,218.712,217.37,1,1,0
"Oklahoma",1989,0,23.45,0.649237349245346,220.32,220.277,1,1,0
"Oregon",1989,0,17.55,1.01217171837747,223.476,211.557,1,1,0
"Pennsylvania",1989,0,32.275,1.16026175365978,224.306,220.693,1,1,0
"Rhode Island",1989,0,13.925,1.19837810065228,215.449,216.615,1,1,0
"South Carolina",1989,0,19.275,0.735497849760719,212.497,209.716,1,1,0
"South Dakota",1989,1,7.85,0.682413953594176,237.265,222.273,1,1,0
"Tennessee",1989,0,13.05,0.645096907454894,210.948,212.137,1,1,0
"Texas",1989,0,21.125,0.760679857075864,217.919,212.505,1,1,0
"Utah",1989,1,7.825,0.514428620206316,224.042,220.39,1,1,0
"Vermont",1989,0,13.8,1.16798381928691,224.881,226.961,1,1,0
"Washington",1989,0,22.2,0.867106639211763,225.053,212.695,1,1,0
"West Virginia",1989,0,12.275,0.813242641822793,215.269,215.536,1,1,0
"Wisconsin",1989,0,31.725,1.03885246076073,228.692,223.608,1,1,0
"Wyoming",1989,0,5.625,1.04041415105615,225.378,222.983,1,1,0
"Alabama",1990,0,12.3875,0.590068800167993,208.328,207.358,2,1,0
"Alaska",1990,0,28.1375,1.50607913936489,223.833,211.547,2,1,0
"Arizona",1990,0,22.5625,0.757623389545942,215.254,209.402,2,1,0
"Arkansas",1990,0,10.4625,0.642471279995202,210.206,210.9,2,1,0
"California",1990,0,60.475,0.809833132279308,208.399,202.248,2,1,0
"Colorado",1990,0,25.2,0.897303346057452,221.023,216.525,2,1,0
"Connecticut",1990,0,20.6125,1.40441171685682,226.798,221.613,2,1,0
"Delaware",1990,0,17.6625,1.06582428248469,217.9,212.923,2,1,0
"Florida",1990,0,25.275,0.914070395776535,213.69,208.308,2,1,0
"Georgia",1990,0,12.325,0.79549263250612,215.595,212.341,2,1,0
"Hawaii",1990,0,26.7,0.929534616141673,214.057,203.427,2,1,0
"Idaho",1990,0,11.9375,0.602918621368815,221.563,219.317,2,1,0
"Illinois",1990,0,27.725,0.983219654803634,222.976,216.304,2,1,0
"Indiana",1990,0,12.6625,0.872433776746905,221.038,221.146,2,1,0
"Iowa",1990,0,20.2125,0.836685342366762,229.884,225.49,2,1,0
"Kansas",1990,0,13.5875,0.867379583481369,232.092,221.251,2,1,0
"Kentucky",1990,0,9.575,0.769045749900638,215.048,212.512,2,1,0
"Louisiana",1990,0,16.9625,0.738628427436153,204.14,203.689,2,1,0
"Maine",1990,0,12.8625,0.988344072210232,231.639,226.81,2,1,0
"Maryland",1990,0,19.8375,1.18359090298141,217.318,211.042,2,1,0
"Massachusetts",1990,0,50.825,1.14302881337611,226.598,226.001,2,1,0
"Michigan",1990,0,60.1625,1.05081810836973,219.878,216.034,2,1,0
"Minnesota",1990,0,19.15,0.926532975482064,228.494,220.901,2,1,0
"Mississippi",1990,0,14.7625,0.534490631974136,201.828,199.109,2,1,0
"Missouri",1990,0,25.3625,0.832348257370044,222.216,220.049,2,1,0
"Montana",1990,0,9.6125,0.920951788647221,227.516,222.301,2,1,0
"Nebraska",1990,0,18.075,0.841307392095237,225.333,221.177,2,1,0
"Nevada",1990,0,15.1625,0.826592247666397,217.623,205.786,2,1,0
"New Hampshire",1990,1,3.9,1.02582586637265,229.665,227.715,2,1,0
"New Jersey",1990,0,9,1,99,184,0,1,0
"New Mexico",1990,0,9.65,0.682846547316079,213.299,210.738,2,1,0
"New York",1990,0,60.5,1.54516170617064,218.446,214.625,2,1,0
"North Carolina",1990,0,18.275,0.794297682280315,212.884,211.546,2,1,0
"North Dakota",1990,0,6.8625,0.716651134027262,228.663,225.516,2,1,0
"Ohio",1990,0,32.375,0.918338718203912,218.712,217.37,2,1,0
"Oklahoma",1990,0,22.675,0.676574679758925,220.32,220.277,2,1,0
"Oregon",1990,0,17.175,1.00895180314428,223.476,211.557,2,1,0
"Pennsylvania",1990,0,31.6125,1.16451507151829,224.306,220.693,2,1,0
"Rhode Island",1990,0,13.4875,1.14367093796691,215.449,216.615,2,1,0
"South Carolina",1990,0,18.3125,0.750331790568448,212.497,209.716,2,1,0
"South Dakota",1990,1,7.625,0.696848616150143,237.265,222.273,2,1,0
"Tennessee",1990,0,12.825,0.627762333582244,210.948,212.137,2,1,0
"Texas",1990,0,21.1875,0.783293901687247,217.919,212.505,2,1,0
"Utah",1990,1,7.6375,0.528775051928989,224.042,220.39,2,1,0
"Vermont",1990,0,13.45,1.21240402790439,224.881,226.961,2,1,0
"Washington",1990,0,21.8,0.883481632630489,225.053,212.695,2,1,0
"West Virginia",1990,0,12.1625,0.87461815781382,215.269,215.536,2,1,0
"Wisconsin",1990,0,34.0875,1.05743914403956,228.692,223.608,2,1,0
"Wyoming",1990,0,5.6375,1.02258187202081,225.378,222.983,2,1,0
"Alabama",1991,0,11.25,0.564187128831996,208.328,207.358,3,1,0
"Alaska",1991,0,27.15,1.47737224791887,223.833,211.547,3,1,0
"Arizona",1991,1,21.75,0.754124972169671,215.254,209.402,3,1,0
"Arkansas",1991,0,10.45,0.677078263252585,210.206,210.9,3,1,0
"California",1991,0,59.8,0.8297791645856,208.399,202.248,3,1,0
"Colorado",1991,0,23.6,0.894545090470858,221.023,216.525,3,1,0
"Connecticut",1991,0,20.05,1.38885002043519,226.798,221.613,3,1,0
"Delaware",1991,0,17.15,1.05451294135714,217.9,212.923,3,1,0
"Florida",1991,0,25.2,0.877604068977461,213.69,208.308,3,1,0
"Georgia",1991,0,12,0.758013944417932,215.595,212.341,3,1,0
"Hawaii",1991,0,26.4,0.94880217491878,214.057,203.427,3,1,0
"Idaho",1991,0,11.75,0.615130378257703,221.563,219.317,3,1,0
"Illinois",1991,0,26.9,0.976335662459241,222.976,216.304,3,1,0
"Indiana",1991,0,12.25,0.869805963870442,221.038,221.146,3,1,0
"Iowa",1991,0,19.45,0.850626918958559,229.884,225.49,3,1,0
"Kansas",1991,0,13.05,0.863335967296964,232.092,221.251,3,1,0
"Kentucky",1991,0,9.4,0.819630015152517,215.048,212.512,3,1,0
"Louisiana",1991,0,16.45,0.734124903525886,204.14,203.689,3,1,0
"Maine",1991,0,12.25,0.994554710280028,231.639,226.81,3,1,0
"Maryland",1991,0,19.65,1.14956637865683,217.318,211.042,3,1,0
"Massachusetts",1991,0,47.3,1.11219975841451,226.598,226.001,3,1,0
"Michigan",1991,0,58.45,1.08782812893287,219.878,216.034,3,1,0
"Minnesota",1991,0,18.9,0.926443089006317,228.494,220.901,3,1,0
"Mississippi",1991,0,14.35,0.523109847040955,201.828,199.109,3,1,0
"Missouri",1991,0,24.25,0.817270240288963,222.216,220.049,3,1,0
"Montana",1991,0,9.15,0.90523735501246,227.516,222.301,3,1,0
"Nebraska",1991,0,17.9,0.847744053018778,225.333,221.177,3,1,0
"Nevada",1991,0,15.35,0.847664399520368,217.623,205.786,3,1,0
"New Hampshire",1991,1,3.8,1.01301486069467,229.665,227.715,3,1,0
"New Jersey",1991,0,27,1,182,62,0,1,0
"New Mexico",1991,0,9.6,0.641081195228638,213.299,210.738,3,1,0
"New York",1991,0,58.7,1.48627309497207,218.446,214.625,3,1,0
