feature,rf_importance,xgb_importance
Legislative Ideology,0.06522797817801988,0.051137004
Citizen Ideology,0.07304533691570783,0.055364408
Median Incumbent Vote Share,0.08899831893680024,0.06398908
Party Decline,0.005089495354973625,0.05513545
Legislative Professionalism,0.041376586082167516,0.051383965
Change in Unemployment,0.04314127577785709,0.043836895
Per Capita Income,0.06150696675006726,0.049342856
Urban Percentage,0.05602737095698551,0.055338856
Unified Dem. Government,0.005784839533488177,0.041531164
Fossil Fuel Production,0.03750698872109711,0.046169147
Real Energy Price,0.05848986499035809,0.04910437
Deregulated,0.016657319627461843,0.116902255
Lagged Geographic Neighbor,0.044553654595867485,0.045199014
Lagged Ideological Neighbor,0.0451066467383722,0.047787778
Prior Borrowing,0.05779161262335896,0.09025084
Year,0.046000950018793896,0.05291243
Provision Year,0.25369479419862323,0.08461443
