"state","year","adagovideology","citizenideology","medianivoteshare","partydecline","squirescore","incunemp","pctpercapincome","percenturban","ugovd","percentfossilprod","renergyprice11","deregulated","geoneighborlag","ideoneighborlag","premulation1","featureyear","intercept","event","billnum"
"Alabama",1985,38.4000015258789,27.8999996185303,64.879997253418,0,0.0850000008940697,-1.60000002384186,78.5999984741211,60,1,69.7751846313477,16.0100002288818,0,0,1,0,3,1,0,110
"Alaska",1985,63.2999992370605,44.5999984741211,62.3499984741211,0,0.319999992847443,-0.300000011920929,137.350006103516,64.3000030517578,0,94.8147659301758,10.5200004577637,0,0,0,0,3,1,0,110
"Arizona",1985,36.9000015258789,33.0999984741211,49.3300018310547,0,0.268999993801117,1.29999995231628,93.1600036621094,83.8000030517578,0,53.7629013061523,20.9400005340576,0,0,1,0,3,1,0,110
"Arkansas",1985,66.5999984741211,46.2000007629395,100,0,0.115000002086163,0.200000002980232,76.0299987792969,51.5999984741211,1,55.9712219238281,16.7800006866455,0,0,0,0,3,1,0,110
"California",1985,47.7000007629395,51,69.4300003051758,0,0.526000022888184,-0.600000023841858,114.620002746582,91.3000030517578,0,77.9104309082031,18.5799999237061,0,0,1,0,3,1,0,110
"Colorado",1985,45.0999984741211,39.4000015258789,75.4199981689453,0,0.284000009298325,0.600000023841858,104.300003051758,80.5999984741211,0,94.7955856323242,17.1800003051758,0,0,1,0,3,1,0,110
"Connecticut",1985,71.4000015258789,70.4000015258789,61.5699996948242,0,0.200000002980232,0.100000001490116,127.309997558594,78.8000030517578,0,0,22.9799995422363,0,0,0,0,3,1,0,110
"Delaware",1985,33.7999992370605,46.2000007629395,72.9700012207031,0,0.179000005125999,-1.10000002384186,108.629997253418,70.5999984741211,0,0,19.0799999237061,0,0,1,0,3,1,0,110
"Florida",1985,60,38.5999984741211,78.9400024414062,1,0.224000006914139,-0.400000005960464,100.040000915527,84.3000030517578,1,19.4494190216064,22.4200000762939,0,0,0,0,3,1,0,110
"Georgia",1985,34.4000015258789,25.5,100,0,0.142000004649162,0.200000002980232,89.1699981689453,62.4000015258789,1,0,17.4500007629395,0,0,1,0,3,1,0,110
"Hawaii",1985,78.4000015258789,66.6999969482422,76.7099990844727,0,0.24600000679493,-0.400000005960464,106.519996643066,86.5,1,0,21.3299999237061,0,0,0,0,3,1,0,110
"Idaho",1985,20.2000007629395,16.2999992370605,73.879997253418,0,0.179000005125999,0.400000005960464,78.5500030517578,54,0,0,16.7600002288818,0,0,0,0,3,1,0,110
"Illinois",1985,41.7000007629395,52,67.2300033569336,0,0.34400001168251,0,106.059997558594,83.3000030517578,0,72.4684906005859,17.6800003051758,0,1,1,0,3,1,0,110
"Indiana",1985,9.69999980926514,38.5999984741211,58.8400001525879,0,0.14300000667572,-0.699999988079071,89.2600021362305,64.1999969482422,0,91.6277389526367,14.4399995803833,0,0,0,0,3,1,0,110
"Kansas",1985,34.7000007629395,30.5,71.5800018310547,0,0.168999999761581,0.200000002980232,97.7799987792969,66.6999969482422,0,94.8894424438477,15.1999998092651,0,0,1,0,3,1,0,110
"Kentucky",1985,62.5,40.2999992370605,71.6900024414062,0,0.0780000016093254,0,78.5899963378906,50.9000015258789,1,98.2738494873047,16.5699996948242,0,0,0,0,3,1,0,110
"Louisiana",1985,51.5,31.7000007629395,65.3000030517578,0,0.150000005960464,1.60000002384186,82.1500015258789,68.5999984741211,1,96.7032241821289,13.6099996566772,0,0,0,0,3,1,0,110
"Maine",1985,74.1999969482422,54.5999984741211,71.6900024414062,1,0.180000007152557,-0.5,85.1399993896484,47.5,1,0,18.4699993133545,0,0,0,0,3,1,0,110
"Maryland",1985,77.5,63.2999992370605,28.2199993133545,0,0.252000004053116,-0.400000005960464,115.699996948242,80.3000030517578,1,31.7467060089111,18.8299999237061,0,0,0,0,3,1,0,110
"Massachusetts",1985,91.5,90.0999984741211,99.9499969482422,0,0.386000007390976,-0.699999988079071,114.76000213623,83.8000030517578,1,0,20.7299995422363,0,0,0,0,3,1,0,110
"Michigan",1985,68.5999984741211,56.0999984741211,69.2200012207031,0,0.462000012397766,-1.29999995231628,100.330001831055,70.6999969482422,0,55.0752868652344,17.6599998474121,0,0,0,0,3,1,0,110
"Minnesota",1985,73.8000030517578,54.5999984741211,61.2400016784668,0,0.210999995470047,-0.300000011920929,102.639999389648,66.9000015258789,0,0,17.5100002288818,0,1,0,0,3,1,0,110
"Mississippi",1985,45,28.2999992370605,79.6699981689453,0,0.185000002384186,0,67.3399963378906,47.2999992370605,1,77.1246490478516,16.9699993133545,0,0,1,0,3,1,0,110
"Missouri",1985,46.0999984741211,48.0999984741211,100,0,0.266000002622604,-0.699999988079071,94.5299987792969,68.0999984741211,0,43.8403053283691,17.3500003814697,0,1,1,0,3,1,0,110
"Montana",1985,73.0999984741211,52.4000015258789,64.2300033569336,0,0.114000000059605,0,80.3600006103516,52.9000015258789,0,87.2133560180664,15.4300003051758,0,0,0,0,3,1,0,110
"Nevada",1985,53.5,36.0999984741211,69.3099975585938,0,0.129999995231628,-0.200000002980232,104.599998474121,85.3000030517578,0,26.0355033874512,18.6399993896484,0,0,0,0,3,1,0,110
"Nebraska",1985,26.5,20.5,57.9900016784668,0,0.216000005602837,0.699999988079071,93.9800033569336,62.9000015258789,0,38.5454559326172,16.7399997711182,0,1,0,0,3,1,0,110
"New Hampshire",1985,13.5,34.9000015258789,26.7099990844727,0,0.061999998986721,-0.5,107.01000213623,52.2000007629395,0,0,21.5200004577637,0,0,0,0,3,1,0,110
"New Jersey",1985,61.7999992370605,67.1999969482422,34.4099998474121,0,0.174999997019768,-0.600000023841858,120.050003051758,89,0,0,20.0799999237061,0,0,0,0,3,1,0,110
"New Mexico",1985,66.1999969482422,37.2999992370605,68.2699966430664,0,0.0920000001788139,0.699999988079071,81.6999969482422,72.0999984741211,0,99.4360427856445,19.4500007629395,0,0,0,0,3,1,1,110
"New York",1985,76.3000030517578,64.9000015258789,71.9499969482422,0,0.407000005245209,-0.5,114.51000213623,84.5999984741211,0,5.44993686676025,21.3999996185303,0,0,0,0,3,1,0,110
"North Carolina",1985,27.1000003814697,28.7999992370605,34.2200012207031,0,0.189999997615814,-1,86.0299987792969,48,0,0,19.5200004577637,0,0,0,0,3,1,0,110
"North Dakota",1985,63.2000007629395,65,29.6900005340576,0,0.0769999995827675,0.300000011920929,86.9599990844727,48.7999992370605,0,96.3011169433594,14.7600002288818,0,0,0,0,3,1,0,110
"Ohio",1985,67.1999969482422,46.9000015258789,66.2799987792969,0,0.354999989271164,-0.5,97.3499984741211,73.3000030517578,0,87.9961929321289,17.2000007629395,0,0,0,0,3,1,0,110
"Oklahoma",1985,41.2999992370605,25.7999992370605,100,0,0.248999997973442,0.400000005960464,89.9800033569336,67.3000030517578,1,98.2713623046875,16.1599998474121,0,0,1,0,3,1,0,110
"Oregon",1985,50.2999992370605,51.9000015258789,63.5,0,0.232999995350838,-0.699999988079071,91.75,67.9000015258789,0,0.691699624061584,17.2600002288818,0,0,0,0,3,1,0,110
"Pennsylvania",1985,44.4000015258789,57.0999984741211,71.0500030517578,0,0.344999998807907,-1,97.8199996948242,69.3000030517578,0,82.5298767089844,17.5300006866455,0,0,1,0,3,1,0,110
"Rhode Island",1985,67.0999984741211,69.5,68.1699981689453,0,0.142000004649162,-1.10000002384186,99.3199996948242,87,0,0,19.9599990844727,0,0,0,0,3,1,0,110
"South Carolina",1985,48.9000015258789,29.7999992370605,99.8600006103516,0,0.28099998831749,-0.100000001490116,79.1800003051758,54.0999984741211,1,0,18.2900009155273,0,0,0,0,3,1,0,110
"South Dakota",1985,12.3000001907349,36.0999984741211,39.5299987792969,0,0.104000002145767,0.300000011920929,81.2900009155273,46.4000015258789,0,16.5969314575195,17.8500003814697,0,1,0,0,3,1,0,110
"Tennessee",1985,42.2999992370605,45.5,99.9800033569336,0,0.149000003933907,-1.10000002384186,83.0199966430664,60.4000015258789,0,41.9125556945801,16.8700008392334,0,0,1,0,3,1,0,110
