state,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
AZ,0.2839465688902423,0.284329657467651,0.334527074033319,0.3267217163139977
VA,0.255645637369236,0.2572388397024032,0.309978514834358,0.3033881314172896
UT,0.208582810710125,0.2103239847599423,0.3044229315547196,0.3009606706862082
MT,0.240789695992699,0.2406463795620609,0.2734816253938346,0.2837817304871653
KY,0.2192131666758245,0.2193946765147574,0.2301942703010494,0.2520265219303479
IL,0.2680059790119552,0.2666271987787121,0.2639398156899847,0.2500660652324964
NJ,0.2202110056891924,0.2193185005411893,0.2239219823504739,0.2328046508626808
CA,0.2560459397131802,0.2591148527745603,0.2192268439864882,0.2307565608680392
ND,0.177427274672701,0.1775353473802793,0.2446286579971135,0.2210337338118797
ID,0.2263445853967206,0.2263757235527246,0.2545284829585986,0.2169192395242085
CO,0.1758827688666745,0.1769754179395925,0.2081982120228361,0.213172915267206
SC,0.2082816968078257,0.2080299839324074,0.2173469453740437,0.2086461149360785
OH,0.1634046934944333,0.1655086417749726,0.1988326038966771,0.2042278408294865
MN,0.2042683733300313,0.205560516491633,0.2052495478592153,0.2040984986823721
MD,0.1858069223481209,0.1849575454251405,0.2399747234235998,0.2029792429130896
TX,0.2596166202005759,0.2591165455359796,0.2073327975606345,0.2029040437383128
RI,0.2393310076224584,0.2396529802147511,0.2199665275197591,0.1996718033234959
AK,0.1777148563470115,0.1744764294287741,0.200108089171773,0.1952602462277118
WA,0.2030885634646249,0.2026432150140421,0.2084758423227526,0.1943469620133233
LA,0.169849206210192,0.1692657398819947,0.1968236819644748,0.194195576853608
GA,0.1531898904188339,0.1547033964629021,0.2025026454484289,0.1886803007022703
FL,0.1595253782052944,0.1602135833772548,0.1778676578721067,0.1850228438364931
DE,0.197060809881429,0.1961515274474331,0.204123872258855,0.181937093972626
OK,0.1305297008342975,0.1307205000820544,0.167951233335022,0.1803526705995057
OR,0.1379991400829519,0.1381331671808056,0.1754610417217514,0.1773881890879738
CT,0.1685150025261197,0.1686448750033173,0.1921325989786287,0.1770147188857548
IN,0.1509584581724882,0.1505498750985713,0.1363986926087978,0.1770000150816883
PA,0.1967033873563876,0.1969320923033237,0.2374016891820075,0.1761752596392884
NH,0.1098602857469272,0.1101342651813099,0.1671893095759243,0.1728941357662743
IA,0.14711760180486,0.1475875290425801,0.1821133947908469,0.1705116309732464
NY,0.1458222073475585,0.1463856166429872,0.1583278059817756,0.1539276798127185
SD,0.156605998675918,0.1485475608503959,0.131903257151679,0.1521309829006183
MO,0.1112486766461453,0.1111295305130323,0.1644709758967973,0.1497056019764661
AR,0.0982228306659343,0.0988966039230541,0.1324804899276618,0.1462775563581726
WY,0.0752761127339733,0.0762558227528149,0.1429057253341335,0.1462507176472963
ME,0.146486377360654,0.144430025767228,0.1576815743613114,0.1442728303535372
NV,0.1438514670662624,0.1433456489066854,0.1497633010492622,0.1424674403911161
TN,0.1623291887075663,0.1625725928927244,0.1530817613606253,0.1424467930760727
NC,0.1486921150531185,0.1473070010502055,0.1350882650897219,0.1403940358698019
KS,0.116111994608116,0.1169556899340385,0.1794654844072342,0.1396475960775351
WV,0.1726408709375088,0.1731638855102703,0.1352699550608818,0.1377294425263617
NM,0.1480095298154851,0.1476110070377614,0.1940643966024835,0.1351012503340961
MA,0.1088585608993307,0.1089957890948277,0.1136687793449626,0.1162387472348388
WI,0.0822198638061582,0.0819134048454582,0.1271785057546446,0.1136684737866144
HI,0.1056514033982197,0.1062687096113455,0.0991420574229042,0.1066156940315607
MS,0.0858150995714717,0.0858950197349471,0.0871916933717505,0.0900160229509438
MI,0.0714014228754125,0.071679737409913,0.064039894245968,0.0631081113552543
VT,0.0594276954983562,0.0594053956306716,0.0554311989025954,0.0579064583044427
AL,0.0510456102140719,0.0509335897968441,0.054566721418158,0.0537696489565468
