state,original_ap_score,logit_ap_score
AK,0.1777148563470115,0.17447293121985716
AL,0.0510456102140719,0.05093489505395909
AR,0.09822283066593435,0.09889563994591578
AZ,0.28394656889024233,0.28436141696270373
CA,0.25604593971318024,0.2591148527745603
CO,0.1758827688666745,0.17698512048348056
CT,0.16851500252611976,0.16864871093216124
DE,0.19706080988142904,0.19615103627778133
FL,0.1595253782052944,0.16022559464174338
GA,0.1531898904188339,0.1547033964629021
HI,0.10565140339821977,0.10626668403386208
IA,0.14711760180486005,0.1475875290425801
ID,0.22634458539672062,0.22636991540305965
IL,0.2680059790119552,0.2658439764463737
IN,0.1509584581724882,0.15055165869338935
KS,0.11611199460811608,0.11695568993403856
KY,0.2192131666758245,0.21939467651475741
LA,0.16984920621019206,0.16927392913018657
MA,0.1088585608993307,0.1089903648211596
MD,0.1858069223481209,0.18494658632615726
ME,0.146486377360654,0.144430025767228
MI,0.07140142287541253,0.07167915187753868
MN,0.20426837333003134,0.20557442076474045
MO,0.1112486766461453,0.11114534052492574
MS,0.08581509957147176,0.08589303509112871
MT,0.240789695992699,0.24065106573821615
NC,0.14869211505311855,0.14730951301287662
ND,0.17742727467270109,0.1775353473802793
NH,0.10986028574692727,0.11013426518130998
NJ,0.22021100568919247,0.21931850054118937
NM,0.14800952981548512,0.14761100703776142
NV,0.14385146706626248,0.1433333786961369
NY,0.1458222073475585,0.14638564306722596
OH,0.16340469349443335,0.16533000855291294
OK,0.13052970083429757,0.13072050008205446
OR,0.13799914008295194,0.13813653962759104
PA,0.19670338735638762,0.1969145504660449
RI,0.23933100762245849,0.23965298021475115
SC,0.2082816968078257,0.2084705831473398
SD,0.15660599867591807,0.14854756085039592
TN,0.16232918870756632,0.1625743239123476
TX,0.25961662020057596,0.25912802886122555
UT,0.20858281071012502,0.21030232929224613
VA,0.25564563736923607,0.25684904354719196
VT,0.059427695498356206,0.0594053956306716
WA,0.20308856346462498,0.20241063370485027
WI,0.08221986380615821,0.08191205346975776
WV,0.1726408709375088,0.17316388551027032
WY,0.07527611273397336,0.07625582275281495
