state,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
Nevada,0.4292435753359433,0.4205430130336673,0.395682254985689,0.4271939790311255
Illinois,0.28036180452492,0.2900802605999735,0.4199607395970274,0.4125485984658374
New Jersey,0.2998190042077901,0.291517759012232,0.4106065433972585,0.3820235580478688
Tennessee,0.2591587263044643,0.2558764523611203,0.3282937007042663,0.3611493735294807
Minnesota,0.3330681979609924,0.3307125777034784,0.3378457170523093,0.3540520421233708
Washington,0.2477722246661182,0.2552192745315178,0.3317121596236736,0.3482165026173257
South Dakota,0.2598607080028001,0.2677500713432206,0.295582188428341,0.3457388448121998
Michigan,0.2958668891648756,0.2780629380570559,0.3501526829504955,0.3429105238528735
Missouri,0.327826680411885,0.3209855461227632,0.3322144854851996,0.3404843571323097
Arkansas,0.4314894715338168,0.4307062258478516,0.3819339237737258,0.3394923554873323
Texas,0.3271663154945904,0.32589538903696,0.3732624326966736,0.3320671440653554
North Carolina,0.2968595759288466,0.3193318522908752,0.3433899111477105,0.3286317299432721
Florida,0.3051315960756498,0.3032072407720076,0.3548819524838558,0.327259718722015
Louisiana,0.3534102001625168,0.3646115997914054,0.3484703343755785,0.3227912842577488
Pennsylvania,0.2832701206748051,0.2760100022794111,0.3255940148388074,0.3208123471099625
Mississippi,0.2742848081628092,0.2731376878187125,0.3167282343960604,0.3170731201976719
Utah,0.2870499494799171,0.2737966354106649,0.3119185201764985,0.3147859890982659
Kentucky,0.2586337102070247,0.2568690070408059,0.3321053642387479,0.3143763137275635
Vermont,0.3449864870647793,0.3421015626614891,0.365813410707571,0.3003472353633395
Iowa,0.3201967298050978,0.3140806712697561,0.3373894399917567,0.2984274198986546
Oregon,0.315229321675455,0.3251201589470197,0.2915190149972044,0.2951969269784344
California,0.2494216077514649,0.2467676567677771,0.3679626118657704,0.2911058394424684
Virginia,0.2706046657077922,0.2658993043141492,0.2724234320437489,0.2905709722563669
Arizona,0.1782948160817446,0.1715951540927454,0.2546990109454658,0.2889585087232958
Ohio,0.2516915417800531,0.2484118600885075,0.2835160281051611,0.2783908606770917
New Hampshire,0.2950806751750723,0.321908157189736,0.2752646662979224,0.2756309770917761
Maryland,0.234904689502128,0.2340145359771516,0.3530065750713356,0.2708556289966861
Idaho,0.2437118583695353,0.261986602475593,0.2540470779425876,0.2626182089181273
Indiana,0.2285939479772966,0.2283852179419142,0.2753619343016438,0.2525805488996109
West Virginia,0.1479146902185694,0.1588039340555257,0.2506410050042596,0.249866287594019
Connecticut,0.3091417154770655,0.2980727206934926,0.3445755702377195,0.2493421212920895
Colorado,0.2360907727535837,0.2385915376713287,0.2592085393531024,0.2469263030624416
Montana,0.271008841937706,0.2779277271277346,0.2302330742273926,0.2466283359147131
Georgia,0.2540184315278566,0.2609265337533988,0.3016164857144249,0.2441630538999581
Rhode Island,0.2255479745715879,0.2237459616570167,0.225948247439246,0.2355737104938838
South Carolina,0.2836860493757253,0.2872227067567431,0.3067059280465387,0.2339085363132654
Wyoming,0.3324909581552614,0.3141294422253993,0.1907801169365265,0.2326335354365728
Massachusetts,0.1760162683675246,0.1615431429659006,0.2763888439045912,0.229655436563157
Kansas,0.1680896920988495,0.2074709574933925,0.3061188181602292,0.2271581879513909
North Dakota,0.2407350032309174,0.2461989139373828,0.1822608484417264,0.2201707620450609
Oklahoma,0.2241118765205513,0.2220589341500522,0.3027859934649743,0.2180454087769211
Wisconsin,0.1899472513219095,0.1907310018346235,0.2432269306879374,0.2113142854642145
Alabama,0.1823464792810917,0.1804316606248829,0.1662087312719371,0.2023964135076016
Delaware,0.2086597735507147,0.2083621061484987,0.214858636494196,0.1955976493766753
Maine,0.1837796270449544,0.1840179729000612,0.2396220537427356,0.1886808736584806
New York,0.2498577137349846,0.2497434145590339,0.1936721130327615,0.1861428333677644
New Mexico,0.1684273069939916,0.1701286767291633,0.1953552083260733,0.181032815630957
