state,original_ap_score,logit_ap_score
Alabama,0.18234647928109177,0.18043166062488294
Arizona,0.17829481608174463,0.1715951540927454
Arkansas,0.43148947153381684,0.4307062258478516
California,0.24942160775146496,0.2467676567677771
Colorado,0.23609077275358376,0.2385915376713287
Connecticut,0.30914171547706554,0.2980727206934926
Delaware,0.20865977355071474,0.2083621061484987
Florida,0.3051315960756498,0.3032072407720076
Georgia,0.25401843152785664,0.26092653375339886
Idaho,0.2437118583695353,0.261986602475593
Illinois,0.28036180452492004,0.2900802605999735
Indiana,0.22859394797729662,0.22838521794191427
Iowa,0.32019672980509783,0.3140806712697561
Kansas,0.16808969209884958,0.2074709574933925
Kentucky,0.2586337102070247,0.25686900704080595
Louisiana,0.35341020016251684,0.3646115997914054
Maine,0.18377962704495443,0.1840179729000612
Maryland,0.23490468950212803,0.2340145359771516
Massachusetts,0.17601626836752465,0.1615431429659006
Michigan,0.29586688916487563,0.27806293805705595
Minnesota,0.3330681979609924,0.3307125777034784
Mississippi,0.27428480816280926,0.27313768781871256
Missouri,0.327826680411885,0.3209855461227632
Montana,0.271008841937706,0.27792772712773467
Nevada,0.4292435753359433,0.4205430130336673
New Hampshire,0.29508067517507236,0.32190815718973603
New Jersey,0.2998190042077901,0.291517759012232
New Mexico,0.1684273069939916,0.17012867672916335
New York,0.2498577137349846,0.24974341455903395
North Carolina,0.29685957592884665,0.3193318522908752
North Dakota,0.24073500323091743,0.2461989139373828
Ohio,0.2516915417800531,0.24841186008850755
Oklahoma,0.22411187652055137,0.2220589341500522
Oregon,0.315229321675455,0.32512015894701973
Pennsylvania,0.2832701206748051,0.27601000227941114
Rhode Island,0.22554797457158793,0.22374596165701677
South Carolina,0.2836860493757253,0.28722270675674316
South Dakota,0.2598607080028001,0.2677500713432206
Tennessee,0.25915872630446435,0.25587645236112033
Texas,0.32716631549459047,0.32589538903696
Utah,0.28704994947991713,0.2737966354106649
Vermont,0.3449864870647793,0.3421015626614891
Virginia,0.27060466570779224,0.2658993043141492
Washington,0.24777222466611823,0.2552192745315178
West Virginia,0.1479146902185694,0.15880393405552573
Wisconsin,0.18994725132190957,0.19073100183462355
Wyoming,0.3324909581552614,0.3141294422253993
