state,original_ap_score,logit_ap_score,xgb_ap_score
AR,0.2341356227499096,0.2220162955796998,0.2714788439560974
OR,0.1747886486824948,0.1755460469643154,0.2523874519968729
ME,0.2122696434650621,0.2049525999340892,0.2489766822013424
DE,0.2167356822712455,0.2147242866870299,0.2477661978612183
NJ,0.1711384142261138,0.1776557110328438,0.2455469764840887
UT,0.1868616761293129,0.1875311119341289,0.2432874441748954
MO,0.1920747097633646,0.1867260080609818,0.241515302704843
MT,0.1698974845807042,0.1633083545210255,0.2405130233910058
MD,0.1863715420315402,0.2016663663736689,0.2399998947334991
AZ,0.1909067581147686,0.2023875790362363,0.2355450491903878
TN,0.1887994321071709,0.1923429865631795,0.2260337934859687
MN,0.1922154101181412,0.1906915936329712,0.2245821164086413
KS,0.2191853791351913,0.214856529367124,0.2218263140966455
NV,0.2066473112617672,0.200994432114751,0.2166192146765938
WI,0.1744729679124753,0.1838086471154667,0.2137801731151463
OK,0.1997024571335767,0.198952124480551,0.213482625815311
WA,0.1801544935513439,0.1728182067350293,0.2125929554677473
NM,0.1924559356112768,0.1816012495914606,0.2102956632244652
NC,0.174924176455687,0.1740009588338643,0.206896805047692
IA,0.1750137135308841,0.1816231675472122,0.2068484709338599
ID,0.1311374860272939,0.1370296123090983,0.2047779648050475
FL,0.1759228071086729,0.1865020088548769,0.204492626543193
KY,0.2161877325110057,0.216503542000478,0.1974264252994743
RI,0.2064692949168033,0.204788540990707,0.1966574831315641
VA,0.140476153909657,0.1415543359547142,0.1926869841203476
CT,0.1429413700733873,0.1576933493153416,0.1891830753208747
MI,0.1625823561513341,0.1740330706603219,0.1891312158030129
AK,0.1428005946392641,0.1546580012599626,0.1870927725455826
OH,0.143938152390317,0.1404346579781912,0.1853342156120807
IL,0.1636370547174751,0.1723601709984763,0.1830571067885427
PA,0.1497349984101676,0.1446156838038716,0.1767722233510757
SC,0.1674386139603965,0.1756920974218435,0.175921912421887
VT,0.1452122013795549,0.1493765832691941,0.1730178650962067
IN,0.1328861756778259,0.132476295643076,0.1713866382394333
WY,0.1386344791518674,0.1350299758854418,0.1687076803946872
CA,0.1557130190639163,0.1523794154332367,0.1651414846939063
ND,0.1555836452917555,0.1546927983421362,0.1614775450880559
LA,0.1464445988811339,0.1420315367610303,0.1596747282871231
TX,0.1224516780260499,0.1251521291318674,0.1543888343501201
NY,0.1081414653308757,0.1180870078618968,0.1534273336345071
CO,0.149063876052465,0.145220039805405,0.1534152758487418
GA,0.1581613404296584,0.1646251921495641,0.1515687850038477
NH,0.1756627180206174,0.1920578900913048,0.1463808028063443
MS,0.1104969216075736,0.115811846664303,0.1412459076339054
AL,0.1307665334876828,0.1222700422346371,0.1409702301258816
HI,0.1352570034620464,0.1283452092594716,0.1408427256635717
SD,0.134932249175476,0.1343909071207172,0.1397340201217093
MA,0.1293886990332205,0.1302196518141928,0.1371912027107115
NE,0.1076608953042291,0.1129612271587587,0.1299292806733293
WV,0.0687910425987237,0.0713453745228066,0.0766129318069551
