state,original_ap_score,logit_ap_score
AL,0.13076653348768286,0.12227004223463715
AK,0.14280059463926417,0.1546580012599626
AZ,0.1909067581147686,0.20238757903623636
AR,0.23413562274990962,0.22201629557969982
CA,0.15571301906391638,0.15237941543323677
CO,0.14906387605246507,0.14522003980540504
CT,0.1429413700733873,0.15769334931534165
DE,0.21673568227124557,0.2147242866870299
FL,0.17592280710867297,0.18650200885487692
GA,0.1581613404296584,0.16462519214956411
HI,0.13525700346204642,0.12834520925947168
ID,0.1311374860272939,0.1346169152092067
IL,0.16363705471747517,0.17236017099847634
IN,0.13288617567782596,0.13247629564307603
IA,0.17501371353088416,0.18162316754721228
KS,0.21918537913519137,0.214856529367124
KY,0.21618773251100576,0.21650354200047806
LA,0.14644459888113398,0.14203153676103036
ME,0.21226964346506216,0.20495259993408924
MD,0.18637154203154022,0.20166636637366894
MA,0.1293886990332205,0.13021965181419282
MI,0.16258235615133418,0.17403307066032192
MN,0.19221541011814125,0.19069159363297125
MS,0.11049692160757363,0.11581184666430305
MO,0.1920747097633646,0.18672600806098183
MT,0.1698974845807042,0.16401489271398248
NE,0.10766089530422915,0.11296122715875873
NV,0.20664731126176725,0.20099443211475107
NH,0.17566271802061745,0.1920578900913048
NJ,0.17113841422611387,0.1776557110328438
NM,0.19245593561127683,0.1816012495914606
NY,0.10814146533087572,0.11808700786189684
NC,0.17492417645568709,0.17400095883386435
ND,0.1555836452917555,0.15671248399425067
OH,0.14393815239031704,0.14303986093858753
OK,0.19970245713357673,0.19895212448055102
OR,0.17478864868249483,0.17554604696431542
PA,0.1497349984101676,0.1446156838038716
RI,0.20646929491680335,0.204788540990707
SC,0.16743861396039658,0.17569209742184352
SD,0.13493224917547605,0.13439090712071725
TN,0.1887994321071709,0.19234298656317952
TX,0.12245167802604992,0.1251521291318674
UT,0.18686167612931298,0.18753111193412897
VT,0.14521220137955493,0.14937658326919415
VA,0.14047615390965706,0.14155433595471426
WA,0.18015449355134397,0.17281820673502934
WV,0.06879104259872375,0.0713453745228066
WI,0.1744729679124753,0.18380864711546674
WY,0.1386344791518674,0.13502997588544186
