state,rf_ap_score
AL,0.14038476825602145
AK,0.20033653676194788
AZ,0.2572853849357351
AR,0.25850052248870975
CA,0.17743426452804764
CO,0.1831643201272973
CT,0.20373983417762273
DE,0.24787946517777018
FL,0.19566387253549503
GA,0.1639536631097019
HI,0.14298505018224217
ID,0.24625299918948254
IL,0.1829424977694211
IN,0.17373705874107168
IA,0.21592081541657818
KS,0.23704673554020936
KY,0.2199338064172165
LA,0.1683207073847066
ME,0.24141300658136547
MD,0.2395962325755697
MA,0.141407216870007
MI,0.1917290070473112
MN,0.2285317546556013
MS,0.1586997459511383
MO,0.25816274726396443
MT,0.25414670016955204
NE,0.14385934327287503
NV,0.22607847688327143
NH,0.17007807904771508
NJ,0.29489185560660736
NM,0.1911174996295697
NY,0.16312086920859112
NC,0.2221173209218251
ND,0.1880565543237728
OH,0.18845665069161488
OK,0.20502331428979326
OR,0.27432215049064856
PA,0.16441567386877357
RI,0.2114496468523083
SC,0.172752694549986
SD,0.14831428388160897
TN,0.21692539105854833
TX,0.1524026620815154
UT,0.24055629511736107
VT,0.17499223632277616
VA,0.18021307334859693
WA,0.2322544550880782
WV,0.08073122574647044
WI,0.22719593400044236
WY,0.17258634588896968
