state,original_ap_score,logit_ap_score
AL,0.16590943802122368,0.15565858270564545
AR,0.2162185455075754,0.19369020543868098
AZ,0.06809209569778402,0.049496823013185955
CA,0.06474463901060164,0.06503238280875949
CO,0.21924488569896447,0.2140721837242788
CT,0.1573860714659873,0.126469269842174
DE,0.2804024719464716,0.33758749507643593
FL,0.0940793914271026,0.14502577533637365
GA,0.15955941789691713,0.15883293976785123
IA,0.10773270330642568,0.1048047064273933
ID,0.06081141057798084,0.10103227104677472
IL,0.07133365904422338,0.06272486820821156
IN,0.15654587462090688,0.12879825063547923
KS,0.15589542967319625,0.12232923063588269
KY,0.02996568337159676,0.02978530315808403
LA,0.09909267746115766,0.09123953581979628
MA,0.09671136144935849,0.07845528651181603
MD,0.14900658767503536,0.1059171285483045
ME,0.1683236014001031,0.17645746081686087
MI,0.15545817877922988,0.11637025031480315
MN,0.2756913794622622,0.2817848964638842
MO,0.08518379895726315,0.17050039416090032
MS,0.03631700832585263,0.03470108350066017
MT,0.05147794019333733,0.06474276874435621
NC,0.20058094990241235,0.2480952955686048
ND,0.031043792986075337,0.028440077035899333
NH,0.12857291091627998,0.08521067408342058
NJ,0.3023205520060519,0.24933844073113276
NM,0.13480106167857497,0.15267518974773234
NV,0.031538252060831565,0.03144746505732589
NY,0.09121609835491948,0.0732175610130238
OH,0.17533973819428492,0.21826924724144459
OK,0.23225245032503877,0.13863651401420518
OR,0.047428375082284036,0.044895882342740424
PA,0.23724514271201225,0.25457384520088117
RI,0.15979029258753055,0.1527600929595558
SC,0.07018020632491419,0.058537160787372165
SD,0.016204033632274316,0.016029315085278696
TN,0.14443619161819674,0.18706022456850666
TX,0.08313268945803462,0.08434052325999307
UT,0.15919255597531318,0.1285521788491131
VA,0.20392629901175185,0.1344223670227084
VT,0.17015279990954102,0.10762334763429908
WA,0.059470863237733054,0.058383753582467134
WI,0.13777584559182243,0.0838185991578817
WV,0.2815019781401322,0.34537728593484945
WY,0.09204248147613302,0.08418567901574303
HI,0.02968071067924749,0.02911543119208206
AK,0.03131206678682941,0.024072415487562105
