state,rf_ap_score
AL,0.0963685770255437
AR,0.15620410681348393
AZ,0.06729090526962302
CA,0.041805142174066286
CO,0.2396532717023702
CT,0.2323156850208403
DE,0.20334579810002365
FL,0.34778502774902176
GA,0.0780978474987355
IA,0.0987969280569372
ID,0.24681251730089415
IL,0.21695930625008766
IN,0.12250745030206985
KS,0.20597939626613024
KY,0.042958425126382725
LA,0.0456266812495514
MA,0.1230018329591805
MD,0.14748283048635233
ME,0.2897251232145995
MI,0.16955887872580497
MN,0.2025604736447076
MO,0.20475667181197865
MS,0.05722967425383449
MT,0.13481235289561325
NC,0.1294006876865792
ND,0.07054553192995554
NH,0.227651321043812
NJ,0.24174091895080174
NM,0.18371481370008
NV,0.029208127678887846
NY,0.06567124161617743
OH,0.15081854201364528
OK,0.15155036292594615
OR,0.06743057819660038
PA,0.32257586572373603
RI,0.16180416458000796
SC,0.11310875839334071
SD,0.08020237963344588
TN,0.1963363738917803
TX,0.104968786095621
UT,0.1518542598981134
VA,0.17262338661631182
VT,0.17595057488718793
WA,0.1960878637225022
WI,0.35706578824943963
WV,0.19534315977496053
WY,0.09009145560778282
HI,0.03342897297169286
AK,0.04641493062978278
