state,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
OR,0.159775785197608,0.1591172515908439,0.2044375977442728,0.2077560393457389
MO,0.1235307345713372,0.1228748599076395,0.189788218220917,0.1785420293502651
NJ,0.1459172696849867,0.1467437333332719,0.1814630275541674,0.1763259181949314
ND,0.1226411545540034,0.121522263274178,0.1651184182845042,0.1711129988571437
OH,0.1235954631983841,0.1240736585664499,0.1706109467061106,0.1704605322082605
NM,0.154549052986676,0.1543044447982603,0.1688040322820959,0.1674159009063002
MT,0.1389986817438462,0.1383856940781703,0.1649779065780854,0.1665212222611028
NV,0.1464187220081337,0.1434216288850603,0.1558447884158154,0.1621693829873144
MD,0.1255658955787618,0.1253206076293634,0.1587641213861417,0.1617137115349926
CO,0.1237729404468286,0.1235905109595605,0.1566531910752139,0.1588922511695016
MN,0.1151637901918896,0.114576628378291,0.1624748331105343,0.1530725059527835
IA,0.1284558621788616,0.1281603536413136,0.1705204691271531,0.1504578523380332
UT,0.1398122134511249,0.1399277189889504,0.1522224146674822,0.1464636997004963
TN,0.1194693887536373,0.119069571911424,0.1635573792077178,0.143253335235274
RI,0.1277774362805793,0.1282660288271602,0.1319525033838477,0.1426797070357557
KY,0.1379629549903779,0.1404283511947206,0.150727570579388,0.1425939347988928
WA,0.1243793890582762,0.124578261632756,0.1480245997957721,0.1393459805997006
NC,0.1195329123915134,0.1186345944346308,0.1536885676773818,0.1388139005297759
AZ,0.1359161845693123,0.1359231240008397,0.1420985102740195,0.1383523951004655
AR,0.1232698427817401,0.1226942017163442,0.1283127936324205,0.1381413682434246
GA,0.111458820307085,0.1110667889741236,0.1405688580680588,0.1375679985134412
KS,0.1342002743949463,0.1342110083038182,0.1455823968047152,0.1355569202388273
NY,0.1088709121867445,0.1065172451407199,0.1386468778544274,0.133444213875575
PA,0.1293125875895897,0.1298150564230187,0.1505448184593271,0.1334416789481039
IL,0.1250594643239453,0.1251125968778499,0.1293697797039432,0.1333513942134756
SC,0.1145907618006686,0.1153222662845331,0.1326784958316933,0.1332968520633862
ID,0.1084855202797085,0.1085884849014146,0.157260997093547,0.1325518948589826
TX,0.1228426504845839,0.122930883249418,0.1465487554868526,0.1290680478371741
WI,0.0995617672039655,0.0995871417064521,0.1352890826647769,0.1267911687130617
IN,0.1042413068437755,0.1040652976916786,0.1130582209949628,0.1260054292183023
ME,0.0986350763242084,0.0981705582542169,0.1201911066555696,0.123472780039771
OK,0.1001224573240029,0.1013786007598515,0.1296885319965075,0.1217072454164774
SD,0.110196800421084,0.1103598693197712,0.1402361260389906,0.1206416044652425
MS,0.1073379086767599,0.1081554698922137,0.1164104445622151,0.1199407775432618
NE,0.0984675343959064,0.0983745072538268,0.119731084636132,0.1180296199872799
HI,0.1003967642226351,0.1003889370303073,0.1076868515234761,0.1162336141418009
VT,0.1081263476457831,0.1091502232269113,0.1232051040876447,0.115816776784736
VA,0.1012091816048214,0.1014437930721509,0.1240161767731067,0.1152717940372446
AL,0.0917096024302779,0.0922119705847373,0.1074716550145422,0.1135101970779019
NH,0.0922143291977534,0.0936708106366197,0.1272650154167615,0.1129752430101551
MA,0.0985516842097743,0.0984145458671827,0.1086172114579299,0.1085406029160465
CA,0.0828883988009729,0.0829581801688518,0.0967603219823825,0.1073344132965372
WY,0.1029848050928253,0.1021231291909838,0.120376032483705,0.1051491566571655
MI,0.1027633156627322,0.1027668128104044,0.1055941691118501,0.1040156155492835
DE,0.1131127279166072,0.1133325107278225,0.1035039641307373,0.1030105741841294
CT,0.0986190476194283,0.0973668360484912,0.101916691551535,0.1028341621364533
LA,0.0869934233768385,0.0876869546554438,0.1005705795668295,0.1012559559166249
FL,0.0930775735221617,0.0928226207747096,0.0991722600286243,0.0986075961341658
AK,0.0863834149413353,0.0881852671670637,0.0866882513359429,0.0924103033781258
WV,0.052198601368077,0.0528384080042145,0.0544226810291494,0.0578323861088636
