state,original_ap_score,logit_ap_score
AL,0.10874872225717944,0.10878319239257504
AK,0.037519230910431786,0.03762815261698455
AZ,0.09869821592440994,0.09871599591926461
AR,0.10076249140539274,0.10087606367112913
CA,0.08494491581084362,0.0848635492990883
CO,0.1165083564357365,0.11646188712537302
CT,0.10120675203412366,0.09982388197782234
DE,0.08330741868306366,0.08334124801905414
FL,0.07389952136837204,0.07386608850078266
GA,0.09310993004841925,0.0932699317575758
HI,0.06782247509289309,0.06781990022557703
IL,0.10177561579738773,0.10050531337750808
IA,0.10935131422091791,0.10988660077905894
KS,0.09505933987109676,0.09507117641331873
ME,0.09397683865062495,0.09402644759640755
MD,0.10013892633943951,0.0992350607560341
MA,0.09304706715796203,0.09301211225082195
MI,0.11125022309253998,0.11053373398152737
MN,0.09397319210804381,0.09404760469911862
MS,0.10675489166211308,0.10668147719304351
MO,0.0963968012645602,0.09637454878218037
MT,0.09439902813783124,0.09439589786822415
NV,0.1458177886859553,0.14551581708713346
NH,0.09163028882730918,0.09153263335034989
NJ,0.1002558218939065,0.10021271888987655
NM,0.12387334903967039,0.12390006885471043
NY,0.0866488106072604,0.08596960544052341
NC,0.0912376567069658,0.09114676236925297
ND,0.09241199184942739,0.09239642164524052
OH,0.09375107000069273,0.0937593587477683
OK,0.0869917209174242,0.08691154588564313
OR,0.1361669273262798,0.13529791226631607
PA,0.10022698882762057,0.10020202819726946
RI,0.086826833378392,0.08694181259424656
SC,0.09943344922855807,0.0995007653838048
SD,0.11740543829676721,0.11755295926393688
TN,0.1249738261474329,0.12505359865764767
TX,0.08944257408314042,0.08915969239526128
UT,0.13881215221503573,0.1387076465125527
VT,0.08942431802354658,0.08935352828578969
VA,0.09727446593802107,0.09703854926948957
WA,0.08316198552998053,0.08311375332767312
WV,0.040927208801410916,0.0410917828417307
WI,0.08860741639741251,0.08859464845897619
WY,0.073090497317191,0.0723793030877656
