state,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
Rhode Island,0.1758258258258258,0.2151165451165451,0.5144579385135336,0.5118251354508585
Virginia,0.4263043752792835,0.4246250542190784,0.4681393475305253,0.4772668334843926
Missouri,0.3641953399717375,0.3531845303085264,0.4723715760919513,0.4184332150612571
Oregon,0.3144185116202332,0.3098080780478007,0.3426361143738418,0.3839789248279897
South Dakota,0.1963750086391595,0.1946455687572438,0.364224186288212,0.3779355101150805
Ohio,0.3433952615556035,0.3133977237812214,0.192308920306295,0.2955029172317014
New Jersey,0.2836977273338866,0.2817694380012638,0.3194536030337553,0.2884978831315185
Delaware,0.0817670284106518,0.079321317726827,0.2102295545090369,0.2528882450482352
Hawaii,0.278107168375659,0.2761133293858339,0.1716631888382628,0.2370346909487311
North Dakota,0.2238784966766936,0.219537166580492,0.1292132269756633,0.2330491358555084
Maryland,0.0659951160478067,0.0657397678237197,0.1129144817348003,0.2199703095805269
Wisconsin,0.1349854334881987,0.1316506214774029,0.0479458633736754,0.2160436868189889
Michigan,0.3700716949112248,0.3689870593485051,0.2530014247357111,0.2156602419022337
Illinois,0.1210734158316043,0.1734084191624108,0.0857170543929638,0.182700778965594
Montana,0.3761948972126771,0.3692552496124082,0.3603426304489052,0.1764818959574695
Maine,0.2667670987562202,0.2632465475899914,0.2305471383731673,0.1537878056084939
North Carolina,0.0608762248196916,0.0628019973992737,0.1935457267736836,0.1466474363499583
Kansas,0.4374416433239962,0.4147925977664257,0.3824084551939306,0.1272992983313447
California,0.1403581847478271,0.1278163759315778,0.1460337137512823,0.1196849478660841
West Virginia,0.0552619030052728,0.0648297401453377,0.0688089429618454,0.1128002840143573
New Hampshire,0.1629291827190309,0.1215265868151439,0.0990973417297612,0.1003590014121397
Vermont,0.1082102828678171,0.1044908783586874,0.0979381554486777,0.0817135431011356
Minnesota,0.0159100719977827,0.0333286769341328,0.139021430158155,0.0746134718685419
Oklahoma,0.3597781430667439,0.3491566739490555,0.0444852419256438,0.0704454466138244
Nevada,0.0148935499571461,0.0168212385670886,0.0184258743974893,0.0662518600841299
Utah,0.1476474925306693,0.1441319209201078,0.1430471482154954,0.061728304257564
Connecticut,0.4388412476481395,0.3277599091285797,0.0693466039422122,0.0381267621495569
Iowa,0.0117647058823529,0.0119583635923505,0.0222222222222222,0.0230397621701969
Pennsylvania,0.3320880662249997,0.296925691266822,0.0319212166491273,0.0223129197132329
Indiana,0.0612167044957093,0.0708068166643257,0.047819902350482,0.0187596928156976
Massachusetts,0.0366677735571952,0.0595545811812765,0.226297663157295,0.0171656130752852
Texas,0.1380580269075988,0.2652920608802961,0.0060408579568809,0.0115181497557853
Colorado,0.0153117176869709,0.0134138014451864,0.0108725124488397,0.0104859720736254
New Mexico,0.0121951219512195,0.010204081632653,0.0147949067979783,0.0075496055743697
Louisiana,-0.0,0.0,0.0,0.0
Kentucky,-0.0,0.0,0.0,0.0
Idaho,-0.0,0.0,0.0,0.0
Georgia,-0.0,0.0,0.0,0.0
Arizona,-0.0,0.0,0.0,0.0
Arkansas,-0.0,0.0,0.0,0.0
Florida,-0.0,0.0,0.0,0.0
Alaska,-0.0,0.0,0.0,0.0
Alabama,-0.0,0.0,0.0,0.0
New York,-0.0,0.0,0.0,0.0
Mississippi,-0.0,0.0,0.0,0.0
Nebraska,-0.0,0.0,0.0,0.0
Tennessee,-0.0,0.0,0.0,0.0
South Carolina,-0.0,0.0,0.0,0.0
Washington,-0.0,0.0,0.0,0.0
Wyoming,-0.0,0.0,0.0,0.0
