Sample Sizes:
First_70%: n = 10542
Last_30%: n = 43551
Full_Dataset: n = 54093

================================================================================
Coefficients and P-Values Comparison
================================================================================
                   First_70%_Coef  First_70%_P_Value  Last_30%_Coef  Last_30%_P_Value  Full_Dataset_Coef  Full_Dataset_P_Value
adagovideology             0.0019             0.8252         0.0151            0.0006             0.0112                0.0015
citizenideology            0.0587             0.0001         0.0189            0.0011             0.0248                0.0000
medianivoteshare           0.0018             0.8072        -0.0230            0.0000            -0.0220                0.0000
partydecline               1.4242             0.0001        -0.0106            0.9640             0.3064                0.1038
squirescore                3.3799             0.0001        -1.4549            0.0382             0.1285                0.7933
incunemp                   0.1385             0.4045         0.0693            0.1697             0.0369                0.4423
pctpercapincome           -0.0108             0.5034        -0.0216            0.0005            -0.0200                0.0002
percenturban               0.0910             0.0000         0.0321            0.0000             0.0332                0.0000
ugovd                      0.1200             0.7982         0.0391            0.8501            -0.0342                0.8486
percentfossilprod         -0.0166             0.0017         0.0059            0.0017             0.0025                0.1231
renergyprice11            -0.4761             0.0000         0.0139            0.5187             0.0118                0.4757
deregulated                0.1603             0.5970         0.9780            0.0000             0.7234                0.0000
geoneighborlag             0.2216             0.8100         3.0184            0.0099             1.1214                0.0205
ideoneighborlag           -2.9824             0.0027        -2.0477            0.0021            -1.6348                0.0001
premulation1             -18.0943             0.0300       -60.5199            0.0000           -57.6331                0.0000
year                      -0.0045             0.0000        -0.0034            0.0000            -0.0036                0.0000
featureyear                0.1243             0.0000         0.1665            0.0000             0.1620                0.0000
